path_key,match_type,path_legacy,path_processed,http_legacy,http_processed,env_legacy,env_processed,found_on_legacy,found_on_processed,url_legacy,url_processed,notes
/,same-path,/,/,200,200,next,next,,,https://www.fxstreet.es/,https://qa-es-site-oriol.fxstreet.com/,
/account/login,processed-only,,/account/login,,200,,next,,/info/premium,,https://qa-es-site-oriol.fxstreet.com/account/login,"accessible on processed, not in legacy crawl"
/analysis,same-path,/analysis,/analysis,200,200,sitefinity,next,/,/,https://www.fxstreet.es/analysis,https://qa-es-site-oriol.fxstreet.com/analysis,
/analysis/latest,same-path,/analysis/latest,/analysis/latest,200,200,sitefinity,next,/,/,https://www.fxstreet.es/analysis/latest,https://qa-es-site-oriol.fxstreet.com/analysis/latest,
/bonds,legacy-only,/bonds,/bonds,200,404,sitefinity,,/analysis,/commodities,https://www.fxstreet.es/bonds,https://qa-es-site-oriol.fxstreet.com/bonds,"processed linked but HTTP 404 from /commodities; accessible on legacy, not in processed crawl"
/brokers/best/%7B%7Blink:brokerReviews%7D%7D,neither-accessible,,,,,,,,,,,
/brokers/best/brokers,legacy-only,/brokers,,200,,next,,/,,https://www.fxstreet.es/brokers,,"accessible on legacy, not in processed crawl"
/brokers/reviews,same-path,/brokers/reviews,/brokers/reviews,200,200,next,next,/,/,https://www.fxstreet.es/brokers/reviews,https://qa-es-site-oriol.fxstreet.com/brokers/reviews,
/calendario-economico,same-path,/calendario-economico,/calendario-economico,200,200,next,next,/,/,https://www.fxstreet.es/calendario-economico,https://qa-es-site-oriol.fxstreet.com/calendario-economico,
/calendario-economico/australia,processed-only,,/calendario-economico/australia,,200,,next,,/calendario-economico,,https://qa-es-site-oriol.fxstreet.com/calendario-economico/australia,"accessible on processed, not in legacy crawl"
/calendario-economico/canada,processed-only,,/calendario-economico/canada,,200,,next,,/calendario-economico,,https://qa-es-site-oriol.fxstreet.com/calendario-economico/canada,"accessible on processed, not in legacy crawl"
/calendario-economico/country/89d5f89c-a5d5-40cc-8690-9725de83504d,neither-accessible,/economic-calendar/country/89d5f89c-a5d5-40cc-8690-9725de83504d,,404,,,,/markets/commodities,,https://www.fxstreet.es/economic-calendar/country/89d5f89c-a5d5-40cc-8690-9725de83504d,,legacy linked but HTTP 404 from /markets/commodities
/calendario-economico/country/e137f7ff-5990-4e7e-89c1-9976744a6628,neither-accessible,/economic-calendar/country/e137f7ff-5990-4e7e-89c1-9976744a6628,,404,,,,/markets/commodities,,https://www.fxstreet.es/economic-calendar/country/e137f7ff-5990-4e7e-89c1-9976744a6628,,legacy linked but HTTP 404 from /markets/commodities
/calendario-economico/country/f0b72088-34bb-4752-9337-c41f329c7798,neither-accessible,/economic-calendar/country/f0b72088-34bb-4752-9337-c41f329c7798,,404,,,,/markets/commodities,,https://www.fxstreet.es/economic-calendar/country/f0b72088-34bb-4752-9337-c41f329c7798,,legacy linked but HTTP 404 from /markets/commodities
/calendario-economico/fed-sentiment-index,processed-only,/economic-calendar/fed-sentiment-index,/calendario-economico/fed-sentiment-index,404,200,,next,/,/,https://www.fxstreet.es/economic-calendar/fed-sentiment-index,https://qa-es-site-oriol.fxstreet.com/calendario-economico/fed-sentiment-index,"legacy linked but HTTP 404 from /; accessible on processed, not in legacy crawl"
/calendario-economico/forex-market-hours,calendar-alias,/economic-calendar/forex-market-hours,/calendario-economico/forex-market-hours,200,200,sitefinity,next,/,/,https://www.fxstreet.es/economic-calendar/forex-market-hours,https://qa-es-site-oriol.fxstreet.com/calendario-economico/forex-market-hours,
/calendario-economico/united-kingdom,processed-only,,/calendario-economico/united-kingdom,,200,,next,,/calendario-economico,,https://qa-es-site-oriol.fxstreet.com/calendario-economico/united-kingdom,"accessible on processed, not in legacy crawl"
/calendario-economico/united-states,processed-only,,/calendario-economico/united-states,,200,,next,,/calendario-economico,,https://qa-es-site-oriol.fxstreet.com/calendario-economico/united-states,"accessible on processed, not in legacy crawl"
/calendario-economico/world-interest-rates,calendar-alias,/economic-calendar/world-interest-rates,/calendario-economico/world-interest-rates,200,200,sitefinity,next,/,/,https://www.fxstreet.es/economic-calendar/world-interest-rates,https://qa-es-site-oriol.fxstreet.com/calendario-economico/world-interest-rates,
/cdn-cgi/l/email-protection,neither-accessible,/cdn-cgi/l/email-protection,/cdn-cgi/l/email-protection,404,404,,,/info/prevention,/info/advertising-model,https://www.fxstreet.es/cdn-cgi/l/email-protection,https://qa-es-site-oriol.fxstreet.com/cdn-cgi/l/email-protection,legacy linked but HTTP 404 from /info/prevention; processed linked but HTTP 404 from /info/advertising-model
/commodities,processed-only,/commodities,/commodities,404,200,,next,/,/,https://www.fxstreet.es/commodities,https://qa-es-site-oriol.fxstreet.com/commodities,"legacy linked but HTTP 404 from /; accessible on processed, not in legacy crawl"
/cryptocurrencies,same-path,/cryptocurrencies,/cryptocurrencies,200,200,sitefinity,next,/,/,https://www.fxstreet.es/cryptocurrencies,https://qa-es-site-oriol.fxstreet.com/cryptocurrencies,
/cryptocurrencies/news,same-path,/cryptocurrencies/news,/cryptocurrencies/news,200,200,sitefinity,next,/,/,https://www.fxstreet.es/cryptocurrencies/news,https://qa-es-site-oriol.fxstreet.com/cryptocurrencies/news,
/cryptocurrencies/rates-charts,legacy-only,/cryptocurrencies/rates-charts,,200,,sitefinity,,/analysis,,https://www.fxstreet.es/cryptocurrencies/rates-charts,,"accessible on legacy, not in processed crawl"
/education,same-path,/education,/education,200,200,sitefinity,next,/,/,https://www.fxstreet.es/education,https://qa-es-site-oriol.fxstreet.com/education,
/education/curso-forex,legacy-only,/education/curso-forex,,200,,sitefinity,,/,,https://www.fxstreet.es/education/curso-forex,,"accessible on legacy, not in processed crawl"
/education/latest,legacy-only,/education/latest,,200,,sitefinity,,/,,https://www.fxstreet.es/education/latest,,"accessible on legacy, not in processed crawl"
/equities,processed-only,/equities,/equities,404,200,,next,/,/,https://www.fxstreet.es/equities,https://qa-es-site-oriol.fxstreet.com/equities,"legacy linked but HTTP 404 from /; accessible on processed, not in legacy crawl"
/https:/rates-charts/rates/historical,neither-accessible,/https:/rates-charts/rates/historical,,400,,,,/technical-analysis/support-resistance/pivot-points,,https://www.fxstreet.es/https:/rates-charts/rates/historical,,legacy linked but HTTP 400 from /technical-analysis/support-resistance/pivot-points
/https:/technical-analysis/support-resistance,neither-accessible,/https:/technical-analysis/support-resistance,,400,,,,/technical-analysis/support-resistance/pivot-points,,https://www.fxstreet.es/https:/technical-analysis/support-resistance,,legacy linked but HTTP 400 from /technical-analysis/support-resistance/pivot-points
/info/about-us,same-path,/info/about-us,/info/about-us,200,200,sitefinity,next,/,/,https://www.fxstreet.es/info/about-us,https://qa-es-site-oriol.fxstreet.com/info/about-us,
/info/advertising-and-sponsorship,neither-accessible,/info/advertising-and-sponsorship,,200,,,,/,,https://www.fxstreet.es/info/advertising-and-sponsorship,,legacy linked but HTTP 200 from /
/info/advertising-model,processed-only,/info/advertising-model,/info/advertising-model,404,200,,next,/,/,https://www.fxstreet.es/info/advertising-model,https://qa-es-site-oriol.fxstreet.com/info/advertising-model,"legacy linked but HTTP 404 from /; accessible on processed, not in legacy crawl"
/info/contact-us,same-path,/info/contact-us,/info/contact-us,200,200,sitefinity,next,/,/,https://www.fxstreet.es/info/contact-us,https://qa-es-site-oriol.fxstreet.com/info/contact-us,
/info/cookie-policy,processed-only,/info/cookie-policy,/info/cookie-policy,404,200,,next,/,/,https://www.fxstreet.es/info/cookie-policy,https://qa-es-site-oriol.fxstreet.com/info/cookie-policy,"legacy linked but HTTP 404 from /; accessible on processed, not in legacy crawl"
/info/corporate-identity,same-path,/info/corporate-identity,/info/corporate-identity,200,200,sitefinity,next,/,/,https://www.fxstreet.es/info/corporate-identity,https://qa-es-site-oriol.fxstreet.com/info/corporate-identity,
/info/editorial-guidelines,same-path,/info/editorial-guidelines,/info/editorial-guidelines,200,200,sitefinity,next,/,/,https://www.fxstreet.es/info/editorial-guidelines,https://qa-es-site-oriol.fxstreet.com/info/editorial-guidelines,
/info/ethical-code,same-path,/info/ethical-code,/info/ethical-code,200,200,sitefinity,next,/,/,https://www.fxstreet.es/info/ethical-code,https://qa-es-site-oriol.fxstreet.com/info/ethical-code,
/info/how-fxstreet-uses-ai,processed-only,/info/how-fxstreet-uses-ai,/info/how-fxstreet-uses-ai,404,200,,next,/,/,https://www.fxstreet.es/info/how-fxstreet-uses-ai,https://qa-es-site-oriol.fxstreet.com/info/how-fxstreet-uses-ai,"legacy linked but HTTP 404 from /; accessible on processed, not in legacy crawl"
/info/how-we-score-reviews,processed-only,/info/how-we-score-reviews,/info/how-we-score-reviews,404,200,,next,/,/,https://www.fxstreet.es/info/how-we-score-reviews,https://qa-es-site-oriol.fxstreet.com/info/how-we-score-reviews,"legacy linked but HTTP 404 from /; accessible on processed, not in legacy crawl"
/info/jobs,neither-accessible,/info/jobs,/info/jobs,404,404,,,/analysis,/info/about-us,https://www.fxstreet.es/info/jobs,https://qa-es-site-oriol.fxstreet.com/info/jobs,legacy linked but HTTP 404 from /analysis; processed linked but HTTP 404 from /info/about-us
