Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
componentes/best-brokers-section,best-brokers-section,openAccount,Open account,Abrir cuenta,,Pendiente,
componentes/best-brokers-section,best-brokers-section,readReview,Read review,Leer reseña,,Pendiente,
componentes/best-brokers-section,best-brokers-section,title,Best brokers in your location,Los mejores brókers en tu ubicación,,Pendiente,
componentes/best-brokers-yearly-section,best-brokers-yearly-section,title,Best Brokers in {year},Mejores Brókers en {year},,Pendiente,
componentes/broker-detail,broker-detail,about,About {name},Sobre {name},,Pendiente,
componentes/broker-detail,broker-detail,account,Account,Cuenta,,Pendiente,
componentes/broker-detail,broker-detail,accountDetails,Account details,Detalles de la cuenta,,Pendiente,
componentes/broker-detail,broker-detail,accountFeature.commission,Commission,Comisión,,Pendiente,
componentes/broker-detail,broker-detail,accountFeature.demo,Demo,Demo,,Pendiente,
componentes/broker-detail,broker-detail,accountFeature.live,Live,Real,,Pendiente,
componentes/broker-detail,broker-detail,accountFeature.noCommission,No commission,Sin comisión,,Pendiente,
componentes/broker-detail,broker-detail,accountFeature.noPamm,No PAMM,Sin PAMM,,Pendiente,
componentes/broker-detail,broker-detail,accountFeature.pamm,PAMM,PAMM,,Pendiente,
componentes/broker-detail,broker-detail,accountFeature.swapFree,Swap-Free,Sin swap,,Pendiente,
componentes/broker-detail,broker-detail,accountTypes,Account types,Tipos de cuenta,,Pendiente,
componentes/broker-detail,broker-detail,commissionUnit.percentage,%,%,,Pendiente,
componentes/broker-detail,broker-detail,commissionUnit.perLot,lot,lote,,Pendiente,
componentes/broker-detail,broker-detail,commissionUnit.perMillion,million,millón,,Pendiente,
componentes/broker-detail,broker-detail,commissionUnit.perTrade,trade,operación,,Pendiente,
componentes/broker-detail,broker-detail,contact,Contact,Contacto,,Pendiente,
componentes/broker-detail,broker-detail,cost,Cost,Coste,,Pendiente,
componentes/broker-detail,broker-detail,costAndCommissions,Cost and Commissions,Costes y comisiones,,Pendiente,
componentes/broker-detail,broker-detail,costFromPips,from {pips} pips,desde {pips} pips,,Pendiente,
componentes/broker-detail,broker-detail,customerService,Customer service,Atención al cliente,,Pendiente,
componentes/broker-detail,broker-detail,demoAccount,Demo account,Cuenta demo,,Pendiente,
componentes/broker-detail,broker-detail,disclaimer,Disclaimer:,Aviso legal:,,Pendiente,
componentes/broker-detail,broker-detail,email,Email,Correo electrónico,,Pendiente,
componentes/broker-detail,broker-detail,executionModel,Execution model,Modelo de ejecución,,Pendiente,
componentes/broker-detail,broker-detail,faq,FAQ,FAQ,,Pendiente,
componentes/broker-detail,broker-detail,feature,Feature,Característica,,Pendiente,
componentes/broker-detail,broker-detail,features,Features,Características,,Pendiente,
componentes/broker-detail,broker-detail,freeDemoAccount,Free demo Account,Cuenta demo gratuita,,Pendiente,
componentes/broker-detail,broker-detail,frequentlyAskedQuestions,Frequently Asked Questions,Preguntas frecuentes,,Pendiente,
componentes/broker-detail,broker-detail,hqCountryIsoCode,HQ Country ISO Code,País de la sede (ISO),,Pendiente,
componentes/broker-detail,broker-detail,maxLeverage,Max. Leverage,Apalancamiento máx.,,Pendiente,
componentes/broker-detail,broker-detail,maxRetailLeverage,Max retail Leverage,Apalancamiento máximo minorista,,Pendiente,
componentes/broker-detail,broker-detail,metaTitle,{name} Trading Platform: All services and details,{name} Plataforma de trading: todos los servicios y detalles,,Pendiente,
componentes/broker-detail,broker-detail,minDeposit,Min. Deposit,Depósito mín.,,Pendiente,
componentes/broker-detail,broker-detail,minimumDepositFrom,Minimum deposit from {amount} USD,Depósito mínimo desde {amount} USD,,Pendiente,
componentes/broker-detail,broker-detail,notAvailableInCountry,This broker is not available in your country,Este bróker no está disponible en tu país,,Pendiente,
componentes/broker-detail,broker-detail,openAccount,Open account,Abrir cuenta,,Pendiente,
componentes/broker-detail,broker-detail,paymentMethods,Payment methods & Withdrawal,Métodos de pago y retirada,,Pendiente,
componentes/broker-detail,broker-detail,readReview,Read review,Leer reseña,,Pendiente,
componentes/broker-detail,broker-detail,regulators,Regulators,Reguladores,,Pendiente,
componentes/broker-detail,broker-detail,spread,Spread,Spread,,Pendiente,
componentes/broker-detail,broker-detail,spreadBased,Spread based,Basado en spread,,Pendiente,
componentes/broker-detail,broker-detail,spreadRaw,RAW,RAW,,Pendiente,
componentes/broker-detail,broker-detail,startFreeDemo,Start Free demo,Abrir cuenta demo,,Pendiente,
componentes/broker-detail,broker-detail,support,Support,Soporte,,Pendiente,
componentes/broker-detail,broker-detail,supportedAssets,Supported Assets,Activos disponibles,,Pendiente,
componentes/broker-detail,broker-detail,supportedCurrencies,Supported Currencies,Divisas disponibles,,Pendiente,
componentes/broker-detail,broker-detail,supportedLanguages,Supported Languages,Idiomas disponibles,,Pendiente,
componentes/broker-detail,broker-detail,tradingDetails,Trading details,Detalles de trading,,Pendiente,
componentes/broker-detail,broker-detail,tradingPlatforms,Trading Platforms,Plataformas de trading,,Pendiente,
componentes/broker-detail,broker-detail,tradingStyles,Trading styles,Estilos de trading,,Pendiente,
componentes/broker-detail,broker-detail,tradingStylesAllowed,Trading styles allowed,Estilos de trading permitidos,,Pendiente,
componentes/broker-detail,broker-detail,visitSite,Visit Site,Visitar el sitio,,Pendiente,
componentes/broker-detail,broker-detail,website,Website,Sitio web,,Pendiente,
componentes/broker-listing,broker-listing,cryptoTitle,Best Crypto Brokers and Exchanges,Los mejores brókers de criptomonedas y exchanges,,Pendiente,
componentes/broker-listing,broker-listing,next,Next,Siguiente,,Pendiente,
componentes/broker-listing,broker-listing,openAccount,Open account,Abrir cuenta,,Pendiente,
componentes/broker-listing,broker-listing,previous,Previous,Anterior,,Pendiente,
componentes/broker-listing,broker-listing,readReview,Read review,Leer reseña,,Pendiente,
componentes/broker-listing,broker-listing,sponsor,Sponsor,Patrocinador,,Pendiente,
componentes/broker-listing,broker-listing,title,Best brokers in your location,Los mejores brókers en tu ubicación,,Pendiente,
