EN URL,ES URL,page type,status,exists EN,exists ES,HTTP EN,HTTP ES,traffic 12m EN,traffic 12m ES,notes
https://www.fxstreet.com/account/premium-checkout,https://www.fxstreet.es/account/premium-checkout,static,EN only,Sí,No,200,404,,,EN: redirect→https://www.fxstreet.com/account/login?uriToRedirect=%2Faccount%2Fpremium-checkout; ES: Not Found; mapped as match but ES dead live → EN only
https://www.fxstreet.com/account/signup,https://www.fxstreet.es/account/signup,static,EN only,Sí,No,200,404,,,ES: Not Found; mapped as match but ES dead live → EN only
https://www.fxstreet.com/brokers/all-spreads,,static,EN only,No,,404,,,,EN: Not Found; EN scrap/legacy URL no longer live
https://www.fxstreet.com/brokers/cashback,,static,EN only,Sí,,200,,,,EN: redirect→https://www.fxstreet.com/brokers/cashback/not-available
https://www.fxstreet.com/brokers/cashback/not-available,https://www.fxstreet.es/brokers/cashback/not-available,static,EN only,Sí,No,200,404,,,ES: Not Found; mapped as match but ES dead live → EN only
https://www.fxstreet.com/brokers/press-releases,,static,EN only,No,,404,,,,EN: Not Found; EN scrap/legacy URL no longer live
https://www.fxstreet.com/commodities,https://www.fxstreet.es/commodities,static,EN only,Sí,No,200,404,,,ES: Not Found; mapped as match but ES dead live → EN only
https://www.fxstreet.com/cryptocurrencies/industry-news,,static,EN only,Sí,,200,,,,
https://www.fxstreet.com/cryptocurrencies/litecoin,,static,EN only,Sí,,200,,,,
https://www.fxstreet.com/cryptocurrencies/rates-charts/[slug],,dynamic,EN only,,,,,,,EN: pattern — no live check
https://www.fxstreet.com/cryptocurrencies/rates-charts/indicators,,static,EN only,Sí,,200,,,,EN: redirect→https://www.fxstreet.com/rates-charts/indicators
https://www.fxstreet.com/cryptocurrencies/rates-charts/rates,,static,EN only,No,,404,,,,EN: Not Found; EN scrap/legacy URL no longer live
https://www.fxstreet.com/cryptocurrencies/resources,,static,EN only,Sí,,200,,,,
https://www.fxstreet.com/cryptocurrencies/resources/[slug],,dynamic,EN only,,,,,,,EN: pattern — no live check
https://www.fxstreet.com/economic-calendar/australia,,static,EN only,Sí,,200,,,,
https://www.fxstreet.com/economic-calendar/canada,,static,EN only,Sí,,200,,,,
https://www.fxstreet.com/economic-calendar/fed-sentiment-index,https://www.fxstreet.es/economic-calendar/fed-sentiment-index,static,EN only,Sí,No,200,404,,,ES: Not Found; mapped as match but ES dead live → EN only
https://www.fxstreet.com/economic-calendar/united-kingdom,,static,EN only,Sí,,200,,,,
https://www.fxstreet.com/economic-calendar/united-states,,static,EN only,Sí,,200,,,,
https://www.fxstreet.com/equities,https://www.fxstreet.es/equities,static,EN only,Sí,No,200,404,,,ES: Not Found; mapped as match but ES dead live → EN only
https://www.fxstreet.com/info/advertising-model,https://www.fxstreet.es/info/advertising-model,static,EN only,Sí,No,200,404,,,ES: Not Found; mapped as match but ES dead live → EN only
https://www.fxstreet.com/info/cookie-policy,https://www.fxstreet.es/info/cookie-policy,static,EN only,Sí,No,200,404,,,ES: Not Found; mapped as match but ES dead live → EN only
https://www.fxstreet.com/info/how-fxstreet-uses-ai,https://www.fxstreet.es/info/how-fxstreet-uses-ai,static,EN only,Sí,No,200,404,,,ES: Not Found; mapped as match but ES dead live → EN only
https://www.fxstreet.com/info/how-we-score-reviews,https://www.fxstreet.es/info/how-we-score-reviews,static,EN only,Sí,No,200,404,,,ES: Not Found; mapped as match but ES dead live → EN only
https://www.fxstreet.com/info/jobs,https://www.fxstreet.es/info/jobs,static,EN only,Sí,No,200,404,,,ES: Not Found; mapped as match but ES dead live → EN only
