Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
componentes/cookie-policy,cookie-policy,cookieList.categories[0].cookies[0].description,Used for load balancing and to ensure that your requests go to the same server during the session.,Utilizadas para el equilibrio de carga y asegurar que sus peticiones vayan al mismo servidor durante la sesión.,,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[0].cookies[0].duration,Session,Sesión,,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[0].cookies[0].host,fxstreet.com,fxstreet.com,,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[0].cookies[0].name,SERVERID / ARRAffinity,SERVERID / ARRAffinity,,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[0].cookies[1].description,Maintains your anonymous session identifier on the server.,Mantiene su identificador de sesión anónimo en el servidor.,,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[0].cookies[1].duration,Session,Sesión,,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[0].cookies[1].host,fxstreet.com,fxstreet.com,,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[0].cookies[1].name,ASP.NET_SessionId,ASP.NET_SessionId,,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[0].cookies[2].description,Cloudflare cookie necessary for management and protection against malicious bots.,Cookie de Cloudflare necesaria para la gestión y protección contra bots maliciosos.,,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[0].cookies[2].duration,Session,Sesión,,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[0].cookies[2].host,fxstreet.com / coingecko.com,fxstreet.com / coingecko.com,,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[0].cookies[2].name,__cf_bm,__cf_bm,,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[0].cookies[3].description,Provide load balancing functionality on Amazon Web Services infrastructures.,Proporcionan funcionalidad de equilibrio de carga en infraestructuras de Amazon Web Services.,,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[0].cookies[3].duration,7 days,7 días,,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[0].cookies[3].host,fxstreet.com / typeform.com,fxstreet.com / typeform.com,,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[0].cookies[3].name,AWSALBTG / AWSALBTGCORS,AWSALBTG / AWSALBTGCORS,,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[0].description,"These cookies are essential for the website to function correctly, allowing load balancing, security, and session maintenance.","Estas cookies son esenciales para que el sitio web funcione correctamente, permitiendo el equilibrio de carga, la seguridad y el mantenimiento de su sesión.",,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[0].title,A. TECHNICAL AND FUNCTIONAL COOKIES (Strictly Necessary),A. COOKIES TÉCNICAS Y DE FUNCIONAMIENTO (Estrictamente Necesarias),,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[1].cookies[0].description,Saves the A/B test variant that the user views in the Economic Calendar section.,Guarda la variante del test A/B que el usuario visualiza en la sección de Calendario Económico.,,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[1].cookies[0].duration,1 year,1 año,,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[1].cookies[0].host,fxstreet.com,fxstreet.com,,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[1].cookies[0].name,Calendar_AB_Test,Calendar_AB_Test,,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[1].cookies[1].description,Selects calendar content based on the most important events for the subscribed user.,Selecciona el contenido del calendario basado en los eventos más importantes para el usuario suscrito.,,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[1].cookies[1].duration,1 year,1 año,,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[1].cookies[1].host,fxstreet.com,fxstreet.com,,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[1].cookies[1].name,SubscribedTopCalendarEvents,SubscribedTopCalendarEvents,,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[1].cookies[2].description,Unique identifier to maintain personalized preferences between sessions.,Identificador único para mantener preferencias personalizadas entre sesiones.,,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[1].cookies[2].duration,1 year,1 año,,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[1].cookies[2].host,fxstreet.com,fxstreet.com,,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[1].cookies[2].name,UserSessionId,UserSessionId,,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[1].description,"Allow the site to remember information that changes the appearance or behavior of the web, such as your language or tool settings.","Permiten que el sitio recuerde información que cambia el aspecto o el comportamiento de la web, como su idioma o la configuración de herramientas.",,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[1].title,B. PERSONALIZATION COOKIES (User Preferences),B. COOKIES DE PERSONALIZACIÓN (Preferencias del Usuario),,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[2].cookies[0].description,Google Analytics cookies that distinguish unique users and calculate visit and campaign data anonymously.,Cookies de Google Analytics que distinguen usuarios únicos y calculan datos de visitas y campañas de forma anónima.,,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[2].cookies[0].duration,1 year,1 año,,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[2].cookies[0].host,fxstreet.com,fxstreet.com,,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[2].cookies[0].name,_ga / _ga_XXXXXXXXXX,_ga / _ga_XXXXXXXXXX,,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[2].cookies[1].description,"Hotjar cookies that allow analyzing user behavior (clicks, heat maps) to improve usability.","Cookies de Hotjar que permiten analizar el comportamiento del usuario (clics, mapas de calor) para mejorar la usabilidad.",,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[2].cookies[1].duration,Session / 1 year,Sesión / 1 año,,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[2].cookies[1].host,fxstreet.com,fxstreet.com,,Pendiente,
componentes/cookie-policy,cookie-policy,cookieList.categories[2].cookies[1].name,_hjSession / _hjSessionUser,_hjSession / _hjSessionUser,,Pendiente,
