Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
componentes/corporate-identity,corporate-identity,blueBackground,Blue Background,Fondo Azul,,Pendiente,
componentes/corporate-identity,corporate-identity,download,Download,Descargar,,Pendiente,
componentes/corporate-identity,corporate-identity,downloadSection.guidelinesLink,https://editorial.fxsstatic.com/landingpages/About/fxs_brand_usage_guidelines.pdf,https://editorial.fxsstatic.com/landingpages/About/fxs_brand_usage_guidelines.pdf,,Pendiente,
componentes/corporate-identity,corporate-identity,downloadSection.guidelinesLinkText,Brand usage guidelines,Directrices de uso de marca,,Pendiente,
componentes/corporate-identity,corporate-identity,downloadSection.intro,"Before downloading any of our logos, please check our","Antes de descargar cualquiera de nuestros logotipos, consulte nuestras",,Pendiente,
componentes/corporate-identity,corporate-identity,downloadSection.title,Download our Logos,Descarga nuestros Logotipos,,Pendiente,
componentes/corporate-identity,corporate-identity,fxstreetLogos.title,FXStreet,FXStreet,,Pendiente,
componentes/corporate-identity,corporate-identity,intro,"Design guidelines are essential for promoting quality and consistency across all communication that involves FXStreet's name. FXStreet's Corporate Identity standards have been produced as a reference to be followed by our staff, contributors, clients and agencies involved in graphic design and layout.","Las directrices de diseño son esenciales para promover la calidad y la coherencia en todas las comunicaciones que involucran el nombre de FXStreet. Los estándares de Identidad Corporativa de FXStreet han sido creados como referencia para ser seguidos por nuestro personal, colaboradores, clientes y agencias involucradas en diseño gráfico y maquetación.",,Pendiente,
componentes/corporate-identity,corporate-identity,pngHighRes,PNG High Resolution.,PNG Alta Resolución.,,Pendiente,
componentes/corporate-identity,corporate-identity,print,Print,Impresión,,Pendiente,
componentes/corporate-identity,corporate-identity,screen,Screen,Pantalla,,Pendiente,
componentes/corporate-identity,corporate-identity,seo.description,Download FXStreet's official logos and brand assets. Access our brand usage guidelines for graphic design and layout.,Descargue los logotipos y activos de marca oficiales de FXStreet. Acceda a nuestras directrices de uso de marca para diseño gráfico y maquetación.,,Pendiente,
componentes/corporate-identity,corporate-identity,seo.title,Corporate Identity - FXStreet,Identidad Corporativa - FXStreet,,Pendiente,
componentes/corporate-identity,corporate-identity,socialMediaLogos.title,Social Media,Redes Sociales,,Pendiente,
componentes/corporate-identity,corporate-identity,title,Corporate Identity,Identidad Corporativa,,Pendiente,
componentes/corporate-identity,corporate-identity,transparentBackground,Transparent Background,Fondo Transparente,,Pendiente,
componentes/corporate-identity,corporate-identity,vectorizedEps,Vectorized CMYK EPS.,EPS CMYK vectorizado.,,Pendiente,
componentes/corporate-identity,corporate-identity,vectorizedPdf,Vectorized CMYK PDF.,PDF CMYK vectorizado.,,Pendiente,
componentes/corporate-identity,corporate-identity,whiteBackground,White Background,Fondo Blanco,,Pendiente,
