Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
errors,Error500,backToHome,Back to home,Volver al inicio,,Pendiente,
errors,Error500,internalError,We're working to fix it as fast as possible.,Estamos trabajando para solucionarlo lo más rápido posible.,,Pendiente,
errors,Error500,reportBug,Report a bug,Reportar un bug,,Pendiente,
errors,Error500,title,Oops! Internal Server Error,¡Vaya! Error interno del servidor,,Pendiente,
errors,Error500,unexpected,Looks like someone unplugged something they shouldn't have.,Parece que alguien desconectó algo que no debía.,,Pendiente,
errors,NotFound,backToHome,Back to home,Volver al inicio,,Pendiente,
errors,NotFound,checkSpelling,"You may have mistyped the web address, please check the spelling.","Puede que hayas escrito mal la dirección web, por favor revisa la ortografía.",,Pendiente,
errors,NotFound,doesNotExist,This page does not seem to exist!,¡Esta página no parece existir!,,Pendiente,
errors,NotFound,embarrassing,It's embarrassing...,Es vergonzoso...,,Pendiente,
errors,NotFound,reportBug,Report a bug,Reportar un bug,,Pendiente,
errors,NotFound,title,We couldn't find the page you're looking for,No pudimos encontrar la página que buscas,,Pendiente,
errors,ServiceNotAvailable,backToHome,Back to Homepage,Volver al inicio,,Pendiente,
errors,ServiceNotAvailable,jurisdictions,Our services are available only in specific jurisdictions. This is to ensure compliance with local financial regulations and to protect our users. Thank you for your understanding.,Nuestros servicios solo están disponibles en determinadas jurisdicciones. Esto es para garantizar el cumplimiento de la normativa financiera local y proteger a nuestros usuarios. Gracias por tu comprensión.,,Pendiente,
errors,ServiceNotAvailable,metaDescription,The service you are trying to access is not available in your country.,El servicio al que intentas acceder no está disponible en tu país.,,Pendiente,
errors,ServiceNotAvailable,metaTitle,Service Not Available,Servicio no disponible,,Pendiente,
errors,ServiceNotAvailable,subtitle,Ooops! Service Not Available,¡Vaya! Servicio no disponible,,Pendiente,
errors,ServiceNotAvailable,title,This service is not available in your location,Este servicio no está disponible en tu ubicación,,Pendiente,
errors,ServiceNotAvailable,unavailableInCountry,"We are sorry, the service you are trying to access is not available in your country.","Lo sentimos, el servicio al que intentas acceder no está disponible en tu país.",,Pendiente,
layout,Footer,columns[0].links[0].href,/info/about-us,/info/about-us,,Pendiente,
layout,Footer,columns[0].links[0].label,About Us,Sobre Nosotros,,Pendiente,
layout,Footer,columns[0].links[1].href,/info/editorial-guidelines,/info/editorial-guidelines,,Pendiente,
layout,Footer,columns[0].links[1].label,Editorial Guidelines,Pautas Editoriales,,Pendiente,
layout,Footer,columns[0].links[2].href,/info/how-we-score-reviews,/info/how-we-score-reviews,,Pendiente,
layout,Footer,columns[0].links[2].label,Score Reviews,Puntuación de reviews,,Pendiente,
layout,Footer,columns[0].links[3].href,/info/ethical-code,/info/ethical-code,,Pendiente,
layout,Footer,columns[0].links[3].label,Ethical Code,Código Ético,,Pendiente,
layout,Footer,columns[0].links[4].href,/info/corporate-identity,/info/corporate-identity,,Pendiente,
layout,Footer,columns[0].links[4].label,Corporate Identity,Identidad Corporativa,,Pendiente,
layout,Footer,columns[0].links[5].href,/transparency-translations,/transparency-translations,,Pendiente,
layout,Footer,columns[0].links[5].label,Transparency Translations,Traducciones Transparentes,,Pendiente,
layout,Footer,columns[0].links[6].href,https://about.fxstreet.com/blog/,https://about.fxstreet.com/blog/,,Pendiente,
layout,Footer,columns[0].links[6].label,FXStreet Blog,FXStreet Blog,,Pendiente,
layout,Footer,columns[0].links[7].href,/info/how-fxstreet-uses-ai,/info/how-fxstreet-uses-ai,,Pendiente,
layout,Footer,columns[0].links[7].label,AI Usage,Uso de IA,,Pendiente,
layout,Footer,columns[0].title,Company,Empresa,,Pendiente,
layout,Footer,columns[1].links[0].href,https://propinder.com/,/subscriptions,,Pendiente,
layout,Footer,columns[1].links[0].label,Propinder,Newsletter,,Pendiente,
layout,Footer,columns[1].links[1].href,/subscriptions,/rss,,Pendiente,
layout,Footer,columns[1].links[1].label,Newsletter,Feeds RSS,,Pendiente,
layout,Footer,columns[1].links[2].href,/rss,/sitemap-all.xml,,Pendiente,
layout,Footer,columns[1].links[2].label,RSS Feeds,Mapa del Sitio,,Pendiente,
layout,Footer,columns[1].links[3].href,/sitemap-all.xml,http://docs.fxstreet.com/,,Pendiente,
layout,Footer,columns[1].links[3].label,Sitemap,Documentación API,,Pendiente,
layout,Footer,columns[1].links[4].href,http://docs.fxstreet.com/,,,Pendiente,
layout,Footer,columns[1].links[4].label,API Documentation,,,Pendiente,
layout,Footer,columns[1].title,Solutions,Soluciones,,Pendiente,
layout,Footer,columns[2].links[0].href,/info/terms-conditions,/info/terms-conditions,,Pendiente,
layout,Footer,columns[2].links[0].label,Terms & Conditions,Términos y Condiciones,,Pendiente,
layout,Footer,columns[2].links[1].href,/info/privacy-policy,/info/privacy-policy,,Pendiente,
layout,Footer,columns[2].links[1].label,Privacy Policy,Política de Privacidad,,Pendiente,
layout,Footer,columns[2].links[2].href,/info/cookie-policy,/info/cookie-policy,,Pendiente,
layout,Footer,columns[2].links[2].label,Cookie Policy,Política de Cookies,,Pendiente,
layout,Footer,columns[2].links[3].href,/info/prevention,/info/prevention,,Pendiente,
layout,Footer,columns[2].links[3].label,Consumer Advice,Asesoramiento al Consumidor,,Pendiente,
layout,Footer,columns[2].title,Legal,Legal,,Pendiente,
layout,Footer,columns[3].links[0].href,/info/advertising-and-sponsorship/,/info/advertising-and-sponsorship/,,Pendiente,
layout,Footer,columns[3].links[0].label,Advertising,Publicidad,,Pendiente,
layout,Footer,columns[3].links[1].href,/info/advertising-model,/info/advertising-model,,Pendiente,
layout,Footer,columns[3].links[1].label,Advertising Model,Modelo de publicidad,,Pendiente,
layout,Footer,columns[3].links[2].href,/info/contact-us,/info/contact-us,,Pendiente,
layout,Footer,columns[3].links[2].label,Submit Request,Enviar Solicitud,,Pendiente,
layout,Footer,columns[3].title,Contact Us,Contacto,,Pendiente,
layout,Footer,copyright,©{year} FXStreet All Rights Reserved,©{year} FXStreet Todos los Derechos Reservados,,Pendiente,
layout,Footer,disclaimer.paragraphs[0],"Information on these pages contains forward-looking statements that involve risks and uncertainties. Markets and instruments profiled on this page are for informational purposes only and should not in any way come across as a recommendation to buy or sell in these assets. You should do your own thorough research before making any investment decisions. FXStreet does not in any way guarantee that this information is free from mistakes, errors, or material misstatements. It also does not guarantee that this information is of a timely nature. Investing in Open Markets involves a great deal of risk, including the loss of all or a portion of your investment, as well as emotional distress. All risks, losses and costs associated with investing, including total loss of principal, are your responsibility. The views and opinions expressed in this article are those of the authors and do not necessarily reflect the official policy or position of FXStreet nor its advertisers. The author will not be held responsible for information that is found at the end of links posted on this page.","La información en estas páginas contiene declaraciones prospectivas que implican riesgos e incertidumbres. Los mercados e instrumentos presentados en esta página son únicamente con fines informativos y no deben interpretarse de ninguna manera como una recomendación de compra o venta de estos activos. Debe realizar su propia investigación exhaustiva antes de tomar decisiones de inversión. FXStreet no garantiza de ninguna manera que esta información esté libre de errores, equivocaciones o declaraciones materiales incorrectas. Tampoco garantiza que esta información sea oportuna. Invertir en Mercados Abiertos conlleva un gran riesgo, incluida la pérdida total o parcial de su inversión, así como angustia emocional. Todos los riesgos, pérdidas y costos asociados con la inversión, incluida la pérdida total del principal, son su responsabilidad. Las opiniones y puntos de vista expresados en este artículo son los de los autores y no reflejan necesariamente la política o posición oficial de FXStreet ni de sus anunciantes. El autor no será responsable de la información que se encuentre al final de los enlaces publicados en esta página.",,Pendiente,
layout,Footer,disclaimer.paragraphs[1],"If not otherwise explicitly mentioned in the body of the article, at the time of writing, the author has no position in any stock mentioned in this article and no business relationship with any company mentioned. The author has not received compensation for writing this article, other than from FXStreet.","Si no se menciona explícitamente lo contrario en el cuerpo del artículo, al momento de escribir, el autor no tiene ninguna posición en ninguna acción mencionada en este artículo y no tiene relación comercial con ninguna empresa mencionada. El autor no ha recibido compensación por escribir este artículo, excepto por parte de FXStreet.",,Pendiente,
layout,Footer,disclaimer.paragraphs[2],"FXStreet and the author do not provide personalized recommendations. The author makes no representations as to the accuracy, completeness, or suitability of this information. FXStreet and the author will not be liable for any errors, omissions or any losses, injuries or damages arising from this information and its display or use. Errors and omissions excepted.","FXStreet y el autor no proporcionan recomendaciones personalizadas. El autor no hace representaciones sobre la precisión, integridad o idoneidad de esta información. FXStreet y el autor no serán responsables por errores, omisiones o cualquier pérdida, lesión o daño que surja de esta información y su visualización o uso. Errores y omisiones exceptuados.",,Pendiente,
layout,Footer,disclaimer.paragraphs[3],The author and FXStreet are not registered investment advisors and nothing in this article is intended to be investment advice.,El autor y FXStreet no son asesores de inversión registrados y nada en este artículo está destinado a ser asesoramiento de inversión.,,Pendiente,
