Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
errors,Error500,backToHome,Back to home,Volver al inicio,,Pendiente,
errors,Error500,internalError,We're working to fix it as fast as possible.,Estamos trabajando para solucionarlo lo más rápido posible.,,Pendiente,
errors,Error500,reportBug,Report a bug,Reportar un bug,,Pendiente,
errors,Error500,title,Oops! Internal Server Error,¡Vaya! Error interno del servidor,,Pendiente,
errors,Error500,unexpected,Looks like someone unplugged something they shouldn't have.,Parece que alguien desconectó algo que no debía.,,Pendiente,
errors,NotFound,backToHome,Back to home,Volver al inicio,,Pendiente,
errors,NotFound,checkSpelling,"You may have mistyped the web address, please check the spelling.","Puede que hayas escrito mal la dirección web, por favor revisa la ortografía.",,Pendiente,
errors,NotFound,doesNotExist,This page does not seem to exist!,¡Esta página no parece existir!,,Pendiente,
errors,NotFound,embarrassing,It's embarrassing...,Es vergonzoso...,,Pendiente,
errors,NotFound,reportBug,Report a bug,Reportar un bug,,Pendiente,
errors,NotFound,title,We couldn't find the page you're looking for,No pudimos encontrar la página que buscas,,Pendiente,
errors,ServiceNotAvailable,backToHome,Back to Homepage,Volver al inicio,,Pendiente,
errors,ServiceNotAvailable,jurisdictions,Our services are available only in specific jurisdictions. This is to ensure compliance with local financial regulations and to protect our users. Thank you for your understanding.,Nuestros servicios solo están disponibles en determinadas jurisdicciones. Esto es para garantizar el cumplimiento de la normativa financiera local y proteger a nuestros usuarios. Gracias por tu comprensión.,,Pendiente,
errors,ServiceNotAvailable,metaDescription,The service you are trying to access is not available in your country.,El servicio al que intentas acceder no está disponible en tu país.,,Pendiente,
errors,ServiceNotAvailable,metaTitle,Service Not Available,Servicio no disponible,,Pendiente,
errors,ServiceNotAvailable,subtitle,Ooops! Service Not Available,¡Vaya! Servicio no disponible,,Pendiente,
errors,ServiceNotAvailable,title,This service is not available in your location,Este servicio no está disponible en tu ubicación,,Pendiente,
errors,ServiceNotAvailable,unavailableInCountry,"We are sorry, the service you are trying to access is not available in your country.","Lo sentimos, el servicio al que intentas acceder no está disponible en tu país.",,Pendiente,
