Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
layout,Footer,columns[0].links[0].href,/info/about-us,/info/about-us,,Pendiente,
layout,Footer,columns[0].links[0].label,About Us,Sobre Nosotros,,Pendiente,
layout,Footer,columns[0].links[1].href,/info/editorial-guidelines,/info/editorial-guidelines,,Pendiente,
layout,Footer,columns[0].links[1].label,Editorial Guidelines,Pautas Editoriales,,Pendiente,
layout,Footer,columns[0].links[2].href,/info/how-we-score-reviews,/info/how-we-score-reviews,,Pendiente,
layout,Footer,columns[0].links[2].label,Score Reviews,Puntuación de reviews,,Pendiente,
layout,Footer,columns[0].links[3].href,/info/ethical-code,/info/ethical-code,,Pendiente,
layout,Footer,columns[0].links[3].label,Ethical Code,Código Ético,,Pendiente,
layout,Footer,columns[0].links[4].href,/info/corporate-identity,/info/corporate-identity,,Pendiente,
layout,Footer,columns[0].links[4].label,Corporate Identity,Identidad Corporativa,,Pendiente,
layout,Footer,columns[0].links[5].href,/transparency-translations,/transparency-translations,,Pendiente,
layout,Footer,columns[0].links[5].label,Transparency Translations,Traducciones Transparentes,,Pendiente,
layout,Footer,columns[0].links[6].href,https://about.fxstreet.com/blog/,https://about.fxstreet.com/blog/,,Pendiente,
layout,Footer,columns[0].links[6].label,FXStreet Blog,FXStreet Blog,,Pendiente,
layout,Footer,columns[0].links[7].href,/info/how-fxstreet-uses-ai,/info/how-fxstreet-uses-ai,,Pendiente,
layout,Footer,columns[0].links[7].label,AI Usage,Uso de IA,,Pendiente,
layout,Footer,columns[0].title,Company,Empresa,,Pendiente,
layout,Footer,columns[1].links[0].href,https://propinder.com/,/subscriptions,,Pendiente,
layout,Footer,columns[1].links[0].label,Propinder,Newsletter,,Pendiente,
layout,Footer,columns[1].links[1].href,/subscriptions,/rss,,Pendiente,
layout,Footer,columns[1].links[1].label,Newsletter,Feeds RSS,,Pendiente,
layout,Footer,columns[1].links[2].href,/rss,/sitemap-all.xml,,Pendiente,
layout,Footer,columns[1].links[2].label,RSS Feeds,Mapa del Sitio,,Pendiente,
layout,Footer,columns[1].links[3].href,/sitemap-all.xml,http://docs.fxstreet.com/,,Pendiente,
layout,Footer,columns[1].links[3].label,Sitemap,Documentación API,,Pendiente,
layout,Footer,columns[1].links[4].href,http://docs.fxstreet.com/,,,Pendiente,
layout,Footer,columns[1].links[4].label,API Documentation,,,Pendiente,
layout,Footer,columns[1].title,Solutions,Soluciones,,Pendiente,
layout,Footer,columns[2].links[0].href,/info/terms-conditions,/info/terms-conditions,,Pendiente,
layout,Footer,columns[2].links[0].label,Terms & Conditions,Términos y Condiciones,,Pendiente,
layout,Footer,columns[2].links[1].href,/info/privacy-policy,/info/privacy-policy,,Pendiente,
layout,Footer,columns[2].links[1].label,Privacy Policy,Política de Privacidad,,Pendiente,
layout,Footer,columns[2].links[2].href,/info/cookie-policy,/info/cookie-policy,,Pendiente,
layout,Footer,columns[2].links[2].label,Cookie Policy,Política de Cookies,,Pendiente,
layout,Footer,columns[2].links[3].href,/info/prevention,/info/prevention,,Pendiente,
layout,Footer,columns[2].links[3].label,Consumer Advice,Asesoramiento al Consumidor,,Pendiente,
layout,Footer,columns[2].title,Legal,Legal,,Pendiente,
