Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
navegacion,menu-principal,item@178,Charts,Gráficos,,Pendiente,
navegacion,menu-principal,RATES_CHARTS_SECTION / /rates-charts,,,,Pendiente,
navegacion,menu-principal,item@486,Live chart,Gráfico tiempo real,,Pendiente,
navegacion,menu-principal,/rates-charts/chart,Forecast poll,Encuesta previsión de divisas,,Pendiente,
navegacion,menu-principal,item@1022,Rates table,Cotización tiempo real,,Pendiente,
navegacion,menu-principal,/rates-charts/rates,Technical indicators,Niveles técnicos,,Pendiente,
navegacion,menu-principal,item@1592,Assets,Confluencias técnicas,,Pendiente,
navegacion,menu-principal,item@1692,EUR/USD,Activos,,Pendiente,
navegacion,menu-principal,/rates-charts/eurusd,GBP/USD,EUR/USD,,Pendiente,
navegacion,menu-principal,/rates-charts/gbpusd,NZD/USD,GBP/USD,,Pendiente,
navegacion,menu-principal,/rates-charts/nzdusd,USD/CAD,USD/JPY,,Pendiente,
navegacion,menu-principal,/rates-charts/usdcad,GBP/JPY,AUD/USD,,Pendiente,
navegacion,menu-principal,/rates-charts/gbpjpy,EUR/JPY,NZD/USD,,Pendiente,
navegacion,menu-principal,/rates-charts/eurjpy,Dollar Index,USD/CAD,,Pendiente,
navegacion,menu-principal,item@3363,Gold,GBP/JPY,,Pendiente,
navegacion,menu-principal,/rates-charts/xauusd,Oil,EUR/JPY,,Pendiente,
navegacion,menu-principal,item@3818,SP500,Dollar Index,,Pendiente,
navegacion,menu-principal,item@4064,News,Oro,,Pendiente,
navegacion,menu-principal,NEWS_SECTION / /news,,Petróleo,,Pendiente,
navegacion,menu-principal,item@4346,Forex news,SP500,,Pendiente,
navegacion,menu-principal,/news,Institutional research,Noticias,,Pendiente,
navegacion,menu-principal,item@4881,Latest by asset,,,Pendiente,
navegacion,menu-principal,item@4990,EUR/USD,Últimas noticias,,Pendiente,
navegacion,menu-principal,/news?Tags=EURUSD,USD/JPY,Informes institucionales,,Pendiente,
navegacion,menu-principal,/news?Tags=USDJPY,AUD/USD,Últimas noticias por activo,,Pendiente,
navegacion,menu-principal,/news?Tags=AUDUSD,NZD/USD,EUR/USD,,Pendiente,
navegacion,menu-principal,/news?Tags=NZDUSD,USD/CAD,GBP/USD,,Pendiente,
navegacion,menu-principal,/news?Tags=USDCAD,USD/CHF,USD/JPY,,Pendiente,
navegacion,menu-principal,/news?Tags=USDCHF,EUR/GBP,AUD/USD,,Pendiente,
navegacion,menu-principal,/news?Tags=EURGBP,Dollar Index,NZD/USD,,Pendiente,
navegacion,menu-principal,item@6744,Commodities,USD/CAD,,Pendiente,
navegacion,menu-principal,/news?Tags=Commodities,Bonds,USD/CHF,,Pendiente,
navegacion,menu-principal,item@7211,Analysis,EUR/GBP,,Pendiente,
navegacion,menu-principal,ANALYSIS_SECTION / /analysis,,Dollar Index,,Pendiente,
navegacion,menu-principal,item@7509,Forex analysis,Materias Primas,,Pendiente,
navegacion,menu-principal,item@7759,Editorial picks,Bonos,,Pendiente,
navegacion,menu-principal,item@7868,EUR/USD,Acciones,,Pendiente,
navegacion,menu-principal,/currencies/eurusd,GBP/USD,Análisis,,Pendiente,
navegacion,menu-principal,/currencies/gbpusd,USD/JPY,,,Pendiente,
navegacion,menu-principal,/currencies/usdjpy,AUD/USD,Últimos Análisis,,Pendiente,
navegacion,menu-principal,/currencies/audusd,USD/CAD,Selección editorial,,Pendiente,
navegacion,menu-principal,/currencies/usdcad,NZD/USD,EUR/USD,,Pendiente,
navegacion,menu-principal,/currencies/nzdusd,US Dollar Index,GBP/USD,,Pendiente,
navegacion,menu-principal,item@9440,Gold,USD/JPY,,Pendiente,
navegacion,menu-principal,/commodities/gold,Oil,USD/CAD,,Pendiente,
navegacion,menu-principal,/commodities/oil,Stocks,Oro,,Pendiente,
navegacion,menu-principal,/equities,Commodities,Dollar Index,,Pendiente,
navegacion,menu-principal,item@10322,Economic calendar,USD/MXN,,Pendiente,
navegacion,menu-principal,/economic-calendar,,Petróleo,,Pendiente,
navegacion,menu-principal,item@10656,Economic calendar,Acciones,,Pendiente,
navegacion,menu-principal,item@10969,World interest rates,Materias primas,,Pendiente,
navegacion,menu-principal,item@11309,Market hours,Soportes y resistencias,,Pendiente,
navegacion,menu-principal,item@11631,Fed Sentiment Index,Ondas elliott,,Pendiente,
navegacion,menu-principal,item@11984,Key events,Calendario económico,,Pendiente,
navegacion,menu-principal,item@12088,Fed,,,Pendiente,
navegacion,menu-principal,item@12325,Nonfarm payrolls,Calendario económico,,Pendiente,
navegacion,menu-principal,item@12580,US CPI,Tipos interés oficiales,,Pendiente,
navegacion,menu-principal,item@12825,BoC,Horarios mercado,,Pendiente,
navegacion,menu-principal,item@13062,ECB,Fed Sentiment Index,,Pendiente,
navegacion,menu-principal,item@13299,BoE,Eventos principales,,Pendiente,
navegacion,menu-principal,item@13536,BoJ,Nóminas no agrícolas,,Pendiente,
navegacion,menu-principal,item@13773,RBA,Fed,,Pendiente,
navegacion,menu-principal,item@14010,RBNZ,BoC,,Pendiente,
navegacion,menu-principal,item@14250,SNB,BCE,,Pendiente,
navegacion,menu-principal,item@14511,Crypto,BoE,,Pendiente,
navegacion,menu-principal,CRYPTOS_SECTION / /cryptocurrencies,,SNB,,Pendiente,
navegacion,menu-principal,item@14813,Crypto news,BoJ,,Pendiente,
navegacion,menu-principal,/cryptocurrencies/news,Press releases,RBA,,Pendiente,
navegacion,menu-principal,item@15308,Latest by asset,RBNZ,,Pendiente,
navegacion,menu-principal,item@15417,Bitcoin,Cripto,,Pendiente,
navegacion,menu-principal,/cryptocurrencies/bitcoin,Ethereum,,,Pendiente,
navegacion,menu-principal,/cryptocurrencies/ethereum,Ripple,Últimas noticias,,Pendiente,
navegacion,menu-principal,/cryptocurrencies/ripple,Cardano,Últimas noticias por activo,,Pendiente,
navegacion,menu-principal,/cryptocurrencies/cardano,Solana,Bitcoin,,Pendiente,
navegacion,menu-principal,/cryptocurrencies/solana,Dogecoin,Ethereum,,Pendiente,
navegacion,menu-principal,item@16803,Education,Ripple,,Pendiente,
navegacion,menu-principal,EDUCATION_SECTION / /education,,Cardano,,Pendiente,
navegacion,menu-principal,item@17105,Forex education,Solana,,Pendiente,
navegacion,menu-principal,item@17422,Brokers,Dogecoin,,Pendiente,
navegacion,menu-principal,item@17737,Brokers,Educación,,Pendiente,
navegacion,menu-principal,item@17838,Brokers,,,Pendiente,
navegacion,menu-principal,item@18072,Broker reviews,Curso de forex,,Pendiente,
navegacion,menu-principal,item@18580,Press releases,Últimos artículos,,Pendiente,
navegacion,menu-principal,item@18835,Trader cashback,Brókers,,Pendiente,
navegacion,menu-principal,item@19210,Prop Firms,,,Pendiente,
navegacion,menu-principal,item@19314,Propinder,Propinder,,Pendiente,
navegacion,menu-principal,item@19620,Trade Now,Brókers,,Pendiente,
navegacion,menu-principal,/trade-now,Propinder,Reseñas de Brókers,,Pendiente,
navegacion,menu-principal,item@20718,,Mejores Brókers Latam,,Pendiente,
navegacion,menu-principal,item@20993,,Trader cashback,,Pendiente,
