Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
shared,AdvertisementDialog,close,Continue to FXStreet,Continuar a FXStreet,,Pendiente,
shared,CalendarDisclaimer,description,"The real-time <strong>Economic Calendar</strong> covers financial events and indicators from all over the world. It's automatically updated when new data is released. The Real-time Economic Calendar only provides general information and it is not meant to be a trading guide. FXStreet commits to offer the most accurate contents but due to the large amount of data and the wide range of official sources, FXStreet cannot be held responsible for the eventual inaccuracies that might occur. The Real-time <strong>Economic Calendar</strong> may also be subject to change without any previous notice.","El Calendario Económico en <strong>tiempo real</strong> cubre eventos e indicadores financieros de todo el mundo. Se actualiza automáticamente cuando se publican nuevos datos. El Calendario Económico en Tiempo Real sólo proporciona información general y no pretende ser una guía comercial. FXStreet se compromete a ofrecer los contenidos más exactos, pero debido a la gran cantidad de datos y a la amplia gama de fuentes oficiales, FXStreet no se hace responsable de las posibles inexactitudes que puedan ocurrir. El Calendario Económico en Tiempo Real también puede estar sujeto a cambios sin previo aviso.",,Pendiente,
shared,CalendarDisclaimer,title,Real time Economic Calendar,Calendario Económico en tiempo real,,Pendiente,
shared,Common,readLess,Read less,Leer menos,,Pendiente,
shared,Common,readMore,Read more,Leer más,,Pendiente,
shared,DisclaimerSection,title,Legal Text,Texto Legal,,Pendiente,
shared,Greybox,BrokerReviews.buttonText,Access now,Acceder ahora,,Pendiente,
shared,Greybox,BrokerReviews.href,/brokers/reviews?utm_medium=display&utm_source=content&utm_campaign=broker-review&utm_term=FXS-92,/brokers/reviews?utm_medium=display&utm_source=content&utm_campaign=broker-review&utm_term=FXS-92,,Pendiente,
shared,Greybox,BrokerReviews.subtitle,"Find independent, trusted reviews and choose your perfect broker.",Encuentra reseñas independientes y fiables y elige tu bróker perfecto.,,Pendiente,
shared,Greybox,BrokerReviews.title,Broker Reviews,Reseñas de Brokers,,Pendiente,
shared,Greybox,PremiumCampaign.countdownAlt,countdown,contador,,Pendiente,
shared,Greybox,PremiumCampaign.monthlySubtitle,Only ${price} on Premium,Premium por solo ${price},,Pendiente,
shared,Greybox,PremiumCampaign.monthlyTitle,Just for Today!,¡Sólo por hoy!,,Pendiente,
shared,Greybox,PremiumCampaign.yearlySubtitle,Get {savedPercent}% off on Premium,Ahorra {savedPercent}% en Premium,,Pendiente,
shared,Greybox,PremiumCampaign.yearlyTitle,Limited Time Offer!,¡Oferta por tiempo limitado!,,Pendiente,
shared,OneSignal,allow,Allow,Permitir,,Pendiente,
shared,OneSignal,cancel,Cancel,Cancelar,,Pendiente,
shared,OneSignal,promptDescription,Get the most important market moves directly on your device!,Notificaciones instantáneas para conocer las últimas noticias y actualizaciones.,,Pendiente,
shared,OneSignal,save,Save,Guardar,,Pendiente,
shared,OneSignal,update,Update,Actualizar,,Pendiente,
shared,Share,close,Close,Cerrar,,Pendiente,
shared,Share,copyLink,Copy link,Copiar enlace,,Pendiente,
shared,Share,label,Share:,Compartir:,,Pendiente,
shared,Share,noOptionsFound,No options found.,No se encontraron opciones.,,Pendiente,
shared,Share,optionsTitle,Sharing options,Opciones para compartir,,Pendiente,
shared,Share,share,Share,Compartir,,Pendiente,
shared,Share,xTextLabel,via @FXStreetNews,vía @FXStreetNews,,Pendiente,
shared,Shared,AppDownload.ariaLabelAndroid,Download FXStreet app on Google Play,Descargar la app de FXStreet en Google Play,,Pendiente,
shared,Shared,AppDownload.ariaLabelIOS,Download FXStreet app on App Store,Descargar la app de FXStreet en App Store,,Pendiente,
shared,Shared,googlePreferredSourceAriaLabel,Add FXStreet as preferred source on Google,Añadir FXStreet como fuente preferida en Google,,Pendiente,
shared,Sponsored,text,branded,patrocinado,,Pendiente,
