Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
componentes/premium,premium,advantages.description,"You like what you see for free, and we're sure you'll be excited by our exclusive benefits.","Te gusta lo que ves gratis, y estamos seguros de que nuestras ventajas exclusivas te entusiasmarán.",,Pendiente,
componentes/premium,premium,advantages.featuresLabel,Features:,Características:,,Pendiente,
componentes/premium,premium,advantages.freeFeatures[0].label,News,Noticias,,Pendiente,
componentes/premium,premium,advantages.freeFeatures[10].label,Trade alerts & mobile app,Alertas de trading y app móvil,,Pendiente,
componentes/premium,premium,advantages.freeFeatures[1].detail,With ads,Con anuncios,,Pendiente,
componentes/premium,premium,advantages.freeFeatures[1].label,Economic Calendar,Calendario económico,,Pendiente,
componentes/premium,premium,advantages.freeFeatures[2].detail,Limited & Read only,Limitadas y solo lectura,,Pendiente,
componentes/premium,premium,advantages.freeFeatures[2].label,Event live coverages,Coberturas de eventos en directo,,Pendiente,
componentes/premium,premium,advantages.freeFeatures[3].detail,Limited,Limitados,,Pendiente,
componentes/premium,premium,advantages.freeFeatures[3].label,Live webinars,Webinars en directo,,Pendiente,
componentes/premium,premium,advantages.freeFeatures[4].label,Instant access to analysts,Acceso inmediato a los analistas,,Pendiente,
componentes/premium,premium,advantages.freeFeatures[5].label,Signals & trade plans,Señales y planes de trading,,Pendiente,
componentes/premium,premium,advantages.freeFeatures[6].label,Smart Money Concepts (SMC),Smart Money Concepts (SMC),,Pendiente,
componentes/premium,premium,advantages.freeFeatures[7].label,Trader's room,Sala del trader,,Pendiente,
componentes/premium,premium,advantages.freeFeatures[8].label,Perks for longtime users,Ventajas para usuarios veteranos,,Pendiente,
componentes/premium,premium,advantages.freeFeatures[9].label,24/7 access to recorded videos,Acceso 24/7 a los vídeos grabados,,Pendiente,
componentes/premium,premium,advantages.freePlanName,Free Plan,Plan gratuito,,Pendiente,
componentes/premium,premium,advantages.perMonth,/month,/mes,,Pendiente,
componentes/premium,premium,advantages.premiumFeatures[0].label,News,Noticias,,Pendiente,
componentes/premium,premium,advantages.premiumFeatures[10].label,Trade alerts & mobile app,Alertas de trading y app móvil,,Pendiente,
componentes/premium,premium,advantages.premiumFeatures[1].detail,No ads,Sin anuncios,,Pendiente,
componentes/premium,premium,advantages.premiumFeatures[1].label,Economic Calendar,Calendario económico,,Pendiente,
componentes/premium,premium,advantages.premiumFeatures[2].detail,Unlimited,Ilimitadas,,Pendiente,
componentes/premium,premium,advantages.premiumFeatures[2].label,Event live coverages,Coberturas de eventos en directo,,Pendiente,
componentes/premium,premium,advantages.premiumFeatures[3].detail,Unlimited,Ilimitados,,Pendiente,
componentes/premium,premium,advantages.premiumFeatures[3].label,Live webinars,Webinars en directo,,Pendiente,
componentes/premium,premium,advantages.premiumFeatures[4].label,Instant access to analysts,Acceso inmediato a los analistas,,Pendiente,
componentes/premium,premium,advantages.premiumFeatures[5].label,Signals & trade plans,Señales y planes de trading,,Pendiente,
componentes/premium,premium,advantages.premiumFeatures[6].label,Smart Money Concepts (SMC),Smart Money Concepts (SMC),,Pendiente,
componentes/premium,premium,advantages.premiumFeatures[7].label,Trader's room,Sala del trader,,Pendiente,
componentes/premium,premium,advantages.premiumFeatures[8].label,Perks for longtime users,Ventajas para usuarios veteranos,,Pendiente,
componentes/premium,premium,advantages.premiumFeatures[9].label,24/7 access to recorded videos,Acceso 24/7 a los vídeos grabados,,Pendiente,
componentes/premium,premium,advantages.premiumPlanName,Premium Plan,Plan Premium,,Pendiente,
componentes/premium,premium,advantages.title,Premium Advantages,Ventajas Premium,,Pendiente,
componentes/premium,premium,alreadyMember.benefits[0],<strong>FXS Signals</strong> delivered daily,<strong>Señales FXS</strong> cada día,,Pendiente,
