Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
componentes/subscriptions,subscriptions,metaDescription,Manage your FXStreet newsletter subscriptions.,Gestiona tus suscripciones a los boletines de FXStreet.,,Pendiente,
componentes/subscriptions,subscriptions,metaTitle,Email subscriptions,Suscripciones de correo,,Pendiente,
componentes/subscriptions,subscriptions,profileCta.button,Create free account,Crear cuenta gratis,,Pendiente,
componentes/subscriptions,subscriptions,profileCta.description,Create free account to manage your notifications and more directly from your profile,"Crea una cuenta gratuita para gestionar tus activos favoritos, la zona horaria, las notificaciones y mucho más directamente desde tu perfil",,Pendiente,
componentes/subscriptions,subscriptions,profileCta.title,Manage everything from your profile,Gestiona todo desde tu perfil,,Pendiente,
componentes/subscriptions,subscriptions,saved,Subscription has been saved,La suscripción se ha guardado,,Pendiente,
componentes/subscriptions,subscriptions,subscribeAll,Subscribe to all,Suscribirse a todo,,Pendiente,
componentes/subscriptions,subscriptions,subtitle,manage and subscribe to all our newsletters,gestiona y suscríbete a todos nuestros boletines,,Pendiente,
componentes/subscriptions,subscriptions,title,Email subscriptions,Suscripciones de correo,,Pendiente,
componentes/subscriptions,subscriptions,unsubscribeAll,Unsubscribe from all,Cancelar todas,,Pendiente,
