Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
posts,Paywall,login,Login,Iniciar sesión,,Pendiente,
posts,Paywall,or,or,o,,Pendiente,
posts,Paywall,paywallSectionButtonLabel,Subscribe to Premium,Suscríbete a Premium,,Pendiente,
posts,Paywall,paywallSectionDescriptionText,Start your subscription and get access to all our original articles.,Inicia tu suscripción y accede a todos nuestros artículos originales.,,Pendiente,
posts,Paywall,paywallSectionHeadingText,You have reached your limit of {count} free articles for this month.,Has alcanzado tu límite de {count} artículos gratuitos este mes.,,Pendiente,
posts,Paywall,remainingArticlesAfter,left this month.,este mes.,,Pendiente,
posts,Paywall,remainingArticlesBefore,You have,Te quedan,,Pendiente,
posts,Paywall,remainingArticlesCount,{count} free articles,{count} artículos gratis,,Pendiente,
posts,Paywall,signIn,Sign In,Iniciar sesión,,Pendiente,
posts,Paywall,upgrade,Upgrade,Suscríbete,,Pendiente,
