Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
brokers,BrokerListing,cryptoTitle,Best Crypto Brokers and Exchanges,Los mejores brókers de criptomonedas y exchanges,,Pendiente,
brokers,BrokerListing,next,Next,Siguiente,,Pendiente,
brokers,BrokerListing,previous,Previous,Anterior,,Pendiente,
brokers,BrokerListing,sponsor,Sponsor,Patrocinador,,Pendiente,
brokers,BrokerListing,title,Best brokers in your location,Los mejores brókers en tu ubicación,,Pendiente,
brokers,BrokerReview,accountConditions.defaultSubtitle,A platform-based competitive offering,Una oferta competitiva basada en plataformas,,Pendiente,
brokers,BrokerReview,accountConditions.id,accountConditions,accountConditions,,Pendiente,
brokers,BrokerReview,accountConditions.score,Score:,Puntuación:,,Pendiente,
brokers,BrokerReview,accountConditions.subSections.accountTypes,Account Types,Tipos de cuenta,,Pendiente,
brokers,BrokerReview,accountConditions.subSections.bonusesAndPromotions,Bonuses and promotions,Bonos y promociones,,Pendiente,
brokers,BrokerReview,accountConditions.subSections.costsAndFees,Cost and fees,Costes y tarifas,,Pendiente,
brokers,BrokerReview,accountConditions.subSections.depositingEase,Depositing ease,Facilidad de depósito,,Pendiente,
brokers,BrokerReview,accountConditions.subSections.withdrawalEase,Withdrawal ease,Facilidad de retirada,,Pendiente,
brokers,BrokerReview,accountConditions.table.accountTypes,Account Types,Tipos de cuenta,,Pendiente,
brokers,BrokerReview,accountConditions.table.details,Details,Detalles,,Pendiente,
brokers,BrokerReview,accountConditions.title,Account Conditions,Condiciones de la cuenta,,Pendiente,
brokers,BrokerReview,authors.title,Authors,Autores,,Pendiente,
brokers,BrokerReview,common.backToTop,Back to top,Ir arriba,,Pendiente,
brokers,BrokerReview,common.note,Note:,Nota:,,Pendiente,
brokers,BrokerReview,common.readLess,Read less,Leer menos,,Pendiente,
brokers,BrokerReview,common.readMore,Read more,Leer más,,Pendiente,
brokers,BrokerReview,common.score,Score:,Puntuación:,,Pendiente,
brokers,BrokerReview,common.tip,TIP:,Consejo:,,Pendiente,
brokers,BrokerReview,customerService.defaultSubtitle,24/7 multilingual assistance,Asistencia multilingüe 24/7,,Pendiente,
brokers,BrokerReview,customerService.id,customerService,customerService,,Pendiente,
brokers,BrokerReview,customerService.score,Score:,Puntuación:,,Pendiente,
brokers,BrokerReview,customerService.subSections.supportAvailability,Support availability,Disponibilidad del servicio de soporte,,Pendiente,
brokers,BrokerReview,customerService.subSections.usefulness,Usefulness,Utilidad,,Pendiente,
brokers,BrokerReview,customerService.title,Customer Service and Support,Atención al cliente,,Pendiente,
brokers,BrokerReview,disclaimer.text,"Information on these pages contains forward-looking statements that involve risks and uncertainties. Markets and instruments profiled on this page are for informational purposes only and should not in any way come across as a recommendation to buy or sell in these assets. You should do your own thorough research before making any investment decisions. FXStreet does not in any way guarantee that this information is free from mistakes, errors, or material misstatements. It also does not guarantee that this information is of a timely nature. Investing in Open Markets involves a great deal of risk, including the loss of all or a portion of your investment, as well as emotional distress. All risks, losses and costs associated with investing, including total loss of principal, are your responsibility. The views and opinions expressed in this article are those of the authors and do not necessarily reflect the official policy or position of FXStreet nor its advertisers. The author will not be held responsible for information that is found at the end of links posted on this page.<br/><br/>If not otherwise explicitly mentioned in the body of the article, at the time of writing, the author has no position in any stock mentioned in this article and no business relationship with any company mentioned. The author has not received compensation for writing this article, other than from FXStreet.<br/><br/>FXStreet and the author do not provide personalized recommendations. The author makes no representations as to the accuracy, completeness, or suitability of this information. FXStreet and the author will not be liable for any errors, omissions or any losses, injuries or damages arising from this information and its display or use. Errors and omissions excepted.<br/><br/>The author and FXStreet are not registered investment advisors and nothing in this article is intended to be investment advice.","La información de estas páginas contiene declaraciones prospectivas que implican riesgos e incertidumbres. Los mercados e instrumentos descritos en esta página son solo para fines informativos y no deben interpretarse en ningún caso como una recomendación para comprar o vender estos activos. Le recomendamos que investigue a fondo antes de tomar cualquier decisión de inversión. FXStreet no garantiza en modo alguno que esta información esté libre de errores, equivocaciones o inexactitudes significativas. Tampoco garantiza que esta información sea oportuna. Invertir en los mercados abiertos implica un alto riesgo, incluyendo la pérdida total o parcial de su inversión, así como angustia emocional. Todos los riesgos, pérdidas y costos asociados con la inversión, incluyendo la pérdida total del capital, son su responsabilidad. Las opiniones y puntos de vista expresados ​​en este artículo son los de los autores y no reflejan necesariamente la política o postura oficial de FXStreet ni de sus anunciantes. El autor no se responsabiliza de la información que se encuentra al final de los enlaces publicados en esta página.<br/><br/>Salvo que se indique explícitamente en el cuerpo del artículo, al momento de redactarlo, el autor no tiene ninguna posición en las acciones mencionadas en este artículo ni relación comercial con ninguna de las empresas mencionadas. El autor no ha recibido compensación por escribir este artículo, salvo la de FXStreet.<br/><br/>FXStreet y el autor no ofrecen recomendaciones personalizadas. El autor no garantiza la exactitud, integridad o idoneidad de esta información. FXStreet y el autor no serán responsables de ningún error, omisión, pérdida, lesión o daño derivado de esta información, su presentación o uso. Se exceptúan errores y omisiones.<br/><br/>El autor y FXStreet no son asesores de inversión registrados y nada de lo contenido en este artículo pretende ser un consejo de inversión.",,Pendiente,
brokers,BrokerReview,faqs.title,{brokerName} FAQs,Preguntas frecuentes,,Pendiente,
brokers,BrokerReview,featuresTable.features.assetClasses.icon,chartHistogram,chartHistogram,,Pendiente,
brokers,BrokerReview,featuresTable.features.assetClasses.label,Tradable asset classes,Clases de activos negociables,,Pendiente,
brokers,BrokerReview,featuresTable.features.bonusesPromotions.icon,rosetteDiscount,rosetteDiscount,,Pendiente,
brokers,BrokerReview,featuresTable.features.bonusesPromotions.label,Bonuses/promotions,Bonificaciones y promociones,,Pendiente,
brokers,BrokerReview,featuresTable.features.costs.icon,mathSymbols,mathSymbols,,Pendiente,
brokers,BrokerReview,featuresTable.features.costs.label,"Costs (spreads, fees, commissions)","Costes (spreads, tarifas, comisiones)",,Pendiente,
brokers,BrokerReview,featuresTable.features.currencies.icon,currencyDollar,currencyDollar,,Pendiente,
brokers,BrokerReview,featuresTable.features.currencies.label,Currencies accepted for Deposits/Withdrawals,Monedas aceptadas para depósitos/retiros,,Pendiente,
brokers,BrokerReview,featuresTable.features.leverage.icon,scale,scale,,Pendiente,
brokers,BrokerReview,featuresTable.features.leverage.label,Leverage,Apalancamiento,,Pendiente,
brokers,BrokerReview,featuresTable.features.minimumDeposit.icon,database,database,,Pendiente,
brokers,BrokerReview,featuresTable.features.minimumDeposit.label,Minimum deposit,Depósito mínimo,,Pendiente,
brokers,BrokerReview,featuresTable.features.regulatedRegions.icon,gavel,gavel,,Pendiente,
brokers,BrokerReview,featuresTable.features.regulatedRegions.label,Regulated regions,Regiones reguladas,,Pendiente,
brokers,BrokerReview,featuresTable.features.tradingPlatforms.icon,borderAll,borderAll,,Pendiente,
brokers,BrokerReview,featuresTable.features.tradingPlatforms.label,Trading platforms allowed,Plataformas de trading,,Pendiente,
brokers,BrokerReview,finalThoughts.followLabel,Follow,Seguir,,Pendiente,
brokers,BrokerReview,finalThoughts.title,Final Thoughts,Reflexiones finales,,Pendiente,
brokers,BrokerReview,geolocation.dismissLabel,Dismiss,Descartar,,Pendiente,
brokers,BrokerReview,geolocation.message,This service is not available in your country.,Este servicio no está disponible en tu país.,,Pendiente,
brokers,BrokerReview,geolocation.title,Attention,Atención,,Pendiente,
brokers,BrokerReview,header.analystLabel,FXStreet,FXStreet,,Pendiente,
brokers,BrokerReview,header.breadcrumb,BROKER REVIEWS,Reseñas de Brókers,,Pendiente,
brokers,BrokerReview,header.logoAlt,{brokerName} Logo,Logo {brokerName},,Pendiente,
brokers,BrokerReview,header.title,{brokerName} Broker Review {year}:,Reseña del bróker {brokerName} {year}:,,Pendiente,
brokers,BrokerReview,header.titleSuffix,All you need to know,Todo lo que necesitas saber,,Pendiente,
brokers,BrokerReview,header.updated,Updated,Modificado,,Pendiente,
brokers,BrokerReview,header.verifiedConditions,Verified under real conditions,Verificado en condiciones reales,,Pendiente,
brokers,BrokerReview,header.verifiedConditionsTooltip,The FXStreet team provides an independent and thorough analysis based on direct testing and real experiences with {brokerName}. Our editorial content is driven by rigorous research and data-driven insights.,El equipo de FXStreet ofrece un análisis independiente y exhaustivo basado en pruebas directas y experiencias reales con {brokerName}. Nuestro contenido editorial se basa en investigaciones rigurosas y análisis basados ​​en datos.,,Pendiente,
brokers,BrokerReview,navigation.sections.accountConditions,Account Conditions,Condiciones de la cuenta,,Pendiente,
brokers,BrokerReview,navigation.sections.customerService,Customer Service,Atención al cliente,,Pendiente,
brokers,BrokerReview,navigation.sections.toolsResources,Tools and Resources,Herramientas y recursos,,Pendiente,
brokers,BrokerReview,navigation.sections.tradingExperience,Trading Settings,Configuración de trading,,Pendiente,
brokers,BrokerReview,navigation.sections.trust,Trust,Confianza,,Pendiente,
brokers,BrokerReview,navigation.sections.userExperience,User Experience,Experiencia de usuario,,Pendiente,
brokers,BrokerReview,overview.noteLabel,Note:,Nota:,,Pendiente,
brokers,BrokerReview,relatedBrokers.title,More brokers in your location,Más brókers en tu zona,,Pendiente,
