Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
componentes/calendar-event,calendar-event,charts.emptyState,"Sorry, no results were found.","Lo sentimos, no se encontraron resultados.",,Pendiente,
componentes/calendar-event,calendar-event,charts.historicalDate,Date,Fecha,,Pendiente,
componentes/calendar-event,calendar-event,charts.releases.actual,Actual,Actual,,Pendiente,
componentes/calendar-event,calendar-event,charts.releases.consensus,Consensus,Consenso,,Pendiente,
componentes/calendar-event,calendar-event,charts.releases.deviation,Dev.,Desv.,,Pendiente,
componentes/calendar-event,calendar-event,charts.releases.deviationTooltip,Deviation: It measures the surprise caused when the Actual data differs from the Consensus. It can oscillate in an open scale usually between -7 and +7.,"Desviación: Mide la sorpresa causada cuando el dato Real difiere del Consenso. Puede oscilar en una escala abierta, habitualmente entre -7 y +7.",,Pendiente,
componentes/calendar-event,calendar-event,charts.releases.deviationTooltipAria,Deviation information,Información sobre la desviación,,Pendiente,
componentes/calendar-event,calendar-event,charts.releases.na,n/a,n/d,,Pendiente,
componentes/calendar-event,calendar-event,charts.releases.revisedFrom,Revised from {value},Revisado desde {value},,Pendiente,
componentes/calendar-event,calendar-event,charts.timeRange.ariaLabel,Historical data time range,Rango temporal de datos históricos,,Pendiente,
componentes/calendar-event,calendar-event,charts.timeRange.fiveYears,5 YEARS,5 AÑOS,,Pendiente,
componentes/calendar-event,calendar-event,charts.timeRange.max,MAX,MAX,,Pendiente,
componentes/calendar-event,calendar-event,charts.timeRange.oneYear,1 YEAR,1 AÑO,,Pendiente,
componentes/calendar-event,calendar-event,charts.timeRange.twoYears,2 YEARS,2 AÑOS,,Pendiente,
componentes/calendar-event,calendar-event,charts.title,Historical Data Chart,Gráfico de datos históricos,,Pendiente,
componentes/calendar-event,calendar-event,charts.trueRangeHeading,True Range,Rango verdadero,,Pendiente,
componentes/calendar-event,calendar-event,charts.trueRangeSeries.averageTrueRange15Min,15m TR Averaged,TR 15m promedio,,Pendiente,
componentes/calendar-event,calendar-event,charts.trueRangeSeries.averageTrueRange4h,4h TR Averaged,TR 4h promedio,,Pendiente,
componentes/calendar-event,calendar-event,charts.trueRangeSeries.trueRange15Min,15m TR,TR 15m,,Pendiente,
componentes/calendar-event,calendar-event,charts.trueRangeSeries.trueRange4h,4h TR,TR 4h,,Pendiente,
componentes/calendar-event,calendar-event,charts.trueRangeVsDevHeading,True Range vs. Deviation,Rango verdadero vs desviación,,Pendiente,
componentes/calendar-event,calendar-event,charts.trueRangeVsDevTooltip.surpriseFactor,Surprise Factor,Factor sorpresa,,Pendiente,
componentes/calendar-event,calendar-event,charts.trueRangeVsDevTooltip.tr,TR,RV,,Pendiente,
componentes/calendar-event,calendar-event,charts.views.chart,Chart,Gráfico,,Pendiente,
componentes/calendar-event,calendar-event,charts.views.historicalData,Historical Data,Datos históricos,,Pendiente,
componentes/calendar-event,calendar-event,charts.views.trueRange,True Range,Rango verdadero,,Pendiente,
componentes/calendar-event,calendar-event,charts.views.trueRangeVsDev,True Range vs Dev,Rango verdadero vs desv.,,Pendiente,
componentes/calendar-event,calendar-event,charts.views.volatilityRatio,Volatility Ratio,Ratio de volatilidad,,Pendiente,
componentes/calendar-event,calendar-event,charts.volatilityRatioHeading,Volatility Ratio,Ratio de volatilidad,,Pendiente,
componentes/calendar-event,calendar-event,charts.volatilityRatioSeries.volatilityRatio15Min,15m VR,RV 15m,,Pendiente,
componentes/calendar-event,calendar-event,charts.volatilityRatioSeries.volatilityRatio4h,4h VR,RV 4h,,Pendiente,
componentes/calendar-event,calendar-event,charts.volatilityRatioSeries.volatilityRatioMedian15Min,15m VR Median,RV 15m mediana,,Pendiente,
componentes/calendar-event,calendar-event,charts.volatilityRatioSeries.volatilityRatioMedian4h,4h VR Median,RV 4h mediana,,Pendiente,
componentes/calendar-event,calendar-event,detail.description.frequency,Frequency,Frecuencia,,Pendiente,
componentes/calendar-event,calendar-event,detail.description.periodType.MONTH,Monthly,Mensual,,Pendiente,
componentes/calendar-event,calendar-event,detail.description.periodType.QUARTER,Quarterly,Trimestral,,Pendiente,
componentes/calendar-event,calendar-event,detail.description.periodType.WEEK,Weekly,Semanal,,Pendiente,
componentes/calendar-event,calendar-event,detail.description.periodType.YEAR,Yearly,Anual,,Pendiente,
componentes/calendar-event,calendar-event,detail.description.source,Source,Fuente,,Pendiente,
componentes/calendar-event,calendar-event,detail.relatedAnalysis.title,Related Analysis,Análisis relacionado,,Pendiente,
componentes/calendar-event,calendar-event,detail.relatedEvents.title,Related economic events,Eventos económicos relacionados,,Pendiente,
componentes/calendar-event,calendar-event,detail.relatedNews.title,Related News,Noticias relacionadas,,Pendiente,
componentes/calendar-event,calendar-event,detail.seo.description,"Follow {eventName}: consensus, previous readings, release dates, and related macroeconomic coverage on FXStreet's Economic Calendar.","Sigue {eventName}: consenso, dato anterior, fechas de publicación y cobertura macroeconómica relacionada en el calendario económico de FXStreet.",,Pendiente,
componentes/calendar-event,calendar-event,detail.seo.title,{eventName} - FXStreet Economic Calendar,{eventName} - Calendario económico FXStreet,,Pendiente,
