Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
componentes/calendar-guide,calendar-guide,countries.australia.description1,"Australia is a highly developed market economy and its currency, the Australian dollar, is one of the most popular among currency traders. One important thing to take into account is that the AUD price is correlated with gold, as it is a commodity currency. Australia is a big exporter to China and its economy, and currency reflects any change in the situation in that country.","Australia es una economía de mercado altamente desarrollada y su moneda, el dólar australiano, es una de las más populares entre los operadores de divisas. Un aspecto importante a tener en cuenta es que el precio del AUD está correlacionado con el oro, ya que es una divisa de materias primas. Australia es un gran exportador hacia China y su economía, y su moneda refleja cualquier cambio en la situación de ese país.",,Pendiente,
componentes/calendar-guide,calendar-guide,countries.australia.description2,"The most influenced currencies by Australia's economy are NZD and JPY. The organizations that publish the most meaningful indicators are the Reserve Bank of Australia, which issues statements and decides on the interest rates of the country, and the Australian Government and its Department of Finance that implement policies that affect the economy of the country.","Las divisas más influenciadas por la economía australiana son el NZD y el JPY. Las organizaciones que publican los indicadores más relevantes son el Banco de la Reserva de Australia, que emite comunicados y decide los tipos de interés del país, y el Gobierno australiano y su Departamento de Finanzas, que aplican políticas que afectan a la economía del país.",,Pendiente,
componentes/calendar-guide,calendar-guide,countries.australia.importantEvents.description,Australia regularly publishes data on various economic events that have a significant impact on its economy and various economies connected to the Australian reality. Here you can find the editorial selection made by the FXStreet team about the economic events that could have the most impact on your trading in the next months:,Australia publica regularmente datos sobre diversos eventos económicos que tienen un impacto significativo en su economía y en otras economías vinculadas a la realidad australiana. Aquí puede encontrar la selección editorial del equipo de FXStreet sobre los eventos económicos que podrían tener mayor impacto en su trading en los próximos meses:,,Pendiente,
componentes/calendar-guide,calendar-guide,countries.australia.importantEvents.events[0],RBA Interest Rate Decision,Decisión de tipos de interés del RBA,,Pendiente,
componentes/calendar-guide,calendar-guide,countries.australia.importantEvents.events[1],RBA Meeting Minutes,Minutas del RBA,,Pendiente,
componentes/calendar-guide,calendar-guide,countries.australia.importantEvents.events[2],Australia Unemployment Rate,Tasa de desempleo de Australia,,Pendiente,
componentes/calendar-guide,calendar-guide,countries.australia.importantEvents.events[3],RBA's Governor Lowe Speech,Discurso del Gobernador del RBA Lowe,,Pendiente,
componentes/calendar-guide,calendar-guide,countries.australia.importantEvents.events[4],Australia Consumer Price Index,Índice de Precios al Consumidor de Australia,,Pendiente,
componentes/calendar-guide,calendar-guide,countries.australia.importantEvents.title,What are the most important economic events for Australia?,¿Cuáles son los eventos económicos más importantes para Australia?,,Pendiente,
componentes/calendar-guide,calendar-guide,countries.australia.institutions.description,"The FXStreet editorial team has selected the most important institutions for Australia that generate most of the events with great volatility in the market. If you're interested in knowing the evolution of the country, it's important to take into account that it has its capital in Canberra. Other important things to take into account are the movements of the most relevant institutions of other related economies, such as the Australian and the American ones:","El equipo editorial de FXStreet ha seleccionado las instituciones más importantes para Australia que generan la mayoría de los eventos con gran volatilidad en el mercado. Si le interesa conocer la evolución del país, es importante tener en cuenta que su capital es Canberra. Otros aspectos relevantes son los movimientos de las instituciones más importantes de otras economías relacionadas, como las australiana y la estadounidense:",,Pendiente,
