Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
componentes/economic-calendar,economic-calendar,calendarShort.actual,Actual,Real,,Pendiente,
componentes/economic-calendar,economic-calendar,calendarShort.actualShort,Act:,Real:,,Pendiente,
componentes/economic-calendar,economic-calendar,calendarShort.consensus,Consensus,Consenso,,Pendiente,
componentes/economic-calendar,economic-calendar,calendarShort.consensusShort,Cons:,Cons:,,Pendiente,
componentes/economic-calendar,economic-calendar,calendarShort.event,Event,Evento,,Pendiente,
componentes/economic-calendar,economic-calendar,calendarShort.impact,Impact,Impacto,,Pendiente,
componentes/economic-calendar,economic-calendar,calendarShort.impactLevel.HIGH,High impact,Impacto alto,,Pendiente,
componentes/economic-calendar,economic-calendar,calendarShort.impactLevel.LOW,Low impact,Impacto bajo,,Pendiente,
componentes/economic-calendar,economic-calendar,calendarShort.impactLevel.MEDIUM,Medium impact,Impacto medio,,Pendiente,
componentes/economic-calendar,economic-calendar,calendarShort.impactLevel.NONE,No expected impact,Sin impacto esperado,,Pendiente,
componentes/economic-calendar,economic-calendar,calendarShort.indicator,Indicator,Indicador,,Pendiente,
componentes/economic-calendar,economic-calendar,calendarShort.na,-,-,,Pendiente,
componentes/economic-calendar,economic-calendar,calendarShort.previous,Previous,Previo,,Pendiente,
componentes/economic-calendar,economic-calendar,calendarShort.previousShort,Prev:,Prev:,,Pendiente,
componentes/economic-calendar,economic-calendar,calendarShort.time,Time,Hora,,Pendiente,
componentes/economic-calendar,economic-calendar,countryDescription,Track key macroeconomic releases and indicators for {country} in real time with FXStreet's Economic Calendar.,Sigue en tiempo real los principales datos macroeconómicos e indicadores de {country} con el Calendario Económico de FXStreet.,,Pendiente,
componentes/economic-calendar,economic-calendar,countryTitle,{country} Economic Calendar,Calendario económico de {country},,Pendiente,
componentes/economic-calendar,economic-calendar,listings.analysis,Economic indicator analysis,Análisis de indicadores económicos,,Pendiente,
componentes/economic-calendar,economic-calendar,listings.news,Economic indicator news,Noticias sobre indicadores económicos,,Pendiente,
componentes/economic-calendar,economic-calendar,nextEventCard.actual,Actual,Actual,,Pendiente,
componentes/economic-calendar,economic-calendar,nextEventCard.consensus,Consensus,Consenso,,Pendiente,
componentes/economic-calendar,economic-calendar,nextEventCard.currentEvent,Current Event,Evento actual,,Pendiente,
componentes/economic-calendar,economic-calendar,nextEventCard.currentRelease,Current Release,Publicación actual,,Pendiente,
componentes/economic-calendar,economic-calendar,nextEventCard.days,Days,Días,,Pendiente,
componentes/economic-calendar,economic-calendar,nextEventCard.hours,Hours,Horas,,Pendiente,
componentes/economic-calendar,economic-calendar,nextEventCard.lastRelease,Last Release,Última publicación,,Pendiente,
componentes/economic-calendar,economic-calendar,nextEventCard.minute,Min,Min,,Pendiente,
componentes/economic-calendar,economic-calendar,nextEventCard.na,n/a,n/d,,Pendiente,
componentes/economic-calendar,economic-calendar,nextEventCard.nextRelease,Next Release,Próxima publicación,,Pendiente,
componentes/economic-calendar,economic-calendar,nextEventCard.previous,Previous,Anterior,,Pendiente,
componentes/economic-calendar,economic-calendar,nextEventCard.revisedFrom,Revised from {value},Revisado desde {value},,Pendiente,
componentes/economic-calendar,economic-calendar,nextEventCard.second,Sec,Seg,,Pendiente,
componentes/economic-calendar,economic-calendar,title,Economic Calendar,Calendario Económico,,Pendiente,
componentes/economic-calendar,economic-calendar,widgetMini.seeAllEvents,See all events,Ver todos los eventos,,Pendiente,
componentes/economic-calendar,economic-calendar,widgetMini.title,High impact events,Eventos de alto impacto,,Pendiente,
