Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
componentes/macro-showcases,macro-showcases,Breadcrumb.bestOfTheYear,Best of the year,Mejores del año,,Pendiente,
componentes/macro-showcases,macro-showcases,Header.description,"Find the best broker for your trading style, platform, or region.","Encuentra el mejor bróker para tu estilo de trading, plataforma o región.",,Pendiente,
componentes/macro-showcases,macro-showcases,Header.titleWithCategory,Best Brokers by {category},Mejores brókers por {category},,Pendiente,
componentes/macro-showcases,macro-showcases,MacroTitles.accounts,Account Features,Características de cuenta,,Pendiente,
componentes/macro-showcases,macro-showcases,MacroTitles.assets,Asset Classes,Clases de activos,,Pendiente,
componentes/macro-showcases,macro-showcases,MacroTitles.countries,Geographic,Geografía,,Pendiente,
componentes/macro-showcases,macro-showcases,MacroTitles.fees,Pricing and Costs,Precios y costes,,Pendiente,
componentes/macro-showcases,macro-showcases,MacroTitles.for,User Types,Tipos de usuario,,Pendiente,
componentes/macro-showcases,macro-showcases,MacroTitles.instruments,Instruments,Instrumentos,,Pendiente,
componentes/macro-showcases,macro-showcases,MacroTitles.payments,Payment Methods,Métodos de pago,,Pendiente,
componentes/macro-showcases,macro-showcases,MacroTitles.platforms,Platforms and Tools,Plataformas y herramientas,,Pendiente,
componentes/macro-showcases,macro-showcases,MacroTitles.regulated,Regulations,Regulación,,Pendiente,
componentes/macro-showcases,macro-showcases,MacroTitles.styles,Trading Styles,Estilos de trading,,Pendiente,
componentes/macro-showcases,macro-showcases,allResults,All results:,Todos los resultados:,,Pendiente,
componentes/macro-showcases,macro-showcases,articlesFound,{count} articles found,{count} artículos encontrados,,Pendiente,
componentes/macro-showcases,macro-showcases,cta,Read full article,Leer artículo completo,,Pendiente,
