Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
componentes/propinder,propinder,attribution,"Surfaced by <propinder>Propinder</propinder>, powered by FXStreet.","Presentado por <propinder>Propinder</propinder>, impulsado por FXStreet.",,Pendiente,
componentes/propinder,propinder,firms.atmos-funded.ctaLabel,Get {{discount}}% off at Atmos Funded,Consigue un {{discount}}% de descuento en Atmos Funded,,Pendiente,
componentes/propinder,propinder,firms.atmos-funded.editorial[0].paragraphs[0],"The Atmos Funded discount code is PROPINDER. It applies <strong>{{discount}}%</strong> off to any account at checkout, across the one-step and two-step plans of every size, reaching a maximum of $200K in funding. The <strong>{{discount}}%</strong> is a standing rate for Propinder users, not a limited-time promotion, so there is no deadline.","El código de descuento de Atmos Funded es <strong>PROPINDER</strong>. Aplica un <strong>{{discount}}% de descuento</strong> en cualquier cuenta al finalizar la compra, en los planes de una y dos fases de todos los tamaños, hasta un máximo de 200.000 $ de financiación. El {{discount}}% es una tarifa permanente para los usuarios de <a href=""{{propinderLink}}"">Propinder</a>, no una promoción temporal, así que no tiene fecha límite.",,Pendiente,
componentes/propinder,propinder,firms.atmos-funded.editorial[0].title,How the Atmos Funded discount works,¿Cómo funciona el código de descuento de Atmos Funded?,,Pendiente,
componentes/propinder,propinder,firms.atmos-funded.editorial[1].paragraphs[0],"Payouts are where Atmos stands out. Once funded, the minimum withdrawal is just $100, and most plans pay every two weeks. The NOVA Challenge goes further with on-demand withdrawals, so you decide when to get paid rather than waiting on a fixed cycle. KYC only kicks in after you are funded, which keeps the start simple.","Atmos Funded es una firma de prop trading con sede en Chipre, liderada por el CEO Nick Cooke, lanzada en 2025 en colaboración con el bróker Taurex. Ofrece desafíos de una y dos fases que dan acceso a cuentas desde 5.000 $ hasta 200.000 $, todas operadas en MT5. Los planes de una fase buscan un objetivo de beneficio del 10% con un drawdown diario del 3% y máximo del 6%, mientras que los planes de dos fases tienen objetivos del 10% en la primera fase y 5% en la segunda, con un drawdown diario del 5% y máximo del 10%. Los traders financiados reciben pagos sobre el beneficio bruto y pueden retirar cada 14 días, con un mínimo de retiro de 100 $. Algunos planes también ofrecen pagos bajo demanda. Se puede operar en forex, índices, metales y criptomonedas.",,Pendiente,
componentes/propinder,propinder,firms.atmos-funded.editorial[1].paragraphs[1],,"Los pagos son donde Atmos destaca. Una vez financiado, la retirada mínima es de solo 100 $, y la mayoría de los planes pagan cada dos semanas. El NOVA Challenge va más allá con retiradas bajo demanda, así que decides cuándo cobrar en lugar de esperar a un ciclo fijo. El KYC solo se aplica cuando ya estás financiado, lo que simplifica el inicio.",,Pendiente,
componentes/propinder,propinder,firms.atmos-funded.editorial[1].title,What you get with Atmos Funded,Lo que obtienes con Atmos Funded,,Pendiente,
componentes/propinder,propinder,firms.atmos-funded.editorial[2].steps[0],"Open <a href=""{{propFirmUrl}}"">Atmos Funded on Propinder</a> and pick your plan and account size.","Abre <a href=""{{propFirmUrl}}"">Atmos Funded en Propinder</a> y elige tu plan y el tamaño de tu cuenta.",,Pendiente,
componentes/propinder,propinder,firms.atmos-funded.editorial[2].steps[1],Enter PROPINDER in the promo code field at checkout.,Introduce <strong>PROPINDER</strong> en el campo del cupón durante la compra.,,Pendiente,
componentes/propinder,propinder,firms.atmos-funded.editorial[2].steps[2],Check the price drops <strong>{{discount}}%</strong> before you pay.,Comprueba que el precio baja un <strong>{{discount}}%</strong> antes de pagar.,,Pendiente,
componentes/propinder,propinder,firms.atmos-funded.editorial[2].title,Apply your code in three steps,Aplica tu código en tres pasos,,Pendiente,
componentes/propinder,propinder,firms.atmos-funded.editorial[3].paragraphs[0],"The PROPINDER discount is a standing <strong>{{discount}}%</strong> benefit for Propinder users, with no expiry date. Atmos Funded can change its offers, so the price and terms shown at checkout define what you actually pay.","El descuento del {{discount}}% con PROPINDER es un beneficio permanente para los usuarios de Propinder y no tiene fecha de caducidad. Atmos Funded puede cambiar sus ofertas, por lo que el precio y las condiciones que se muestran al finalizar la compra son las que realmente pagas.",,Pendiente,
componentes/propinder,propinder,firms.atmos-funded.editorial[3].title,Good to know,Es bueno saberlo,,Pendiente,
componentes/propinder,propinder,firms.atmos-funded.faqsTitle,Common questions,Preguntas frecuentes,,Pendiente,
componentes/propinder,propinder,firms.atmos-funded.faqs[0].answer,"It is PROPINDER, which gives {{discount}}% off any Atmos Funded account.","Es PROPINDER, que ofrece un {{discount}}% de descuento en cualquier cuenta de Atmos Funded.",,Pendiente,
componentes/propinder,propinder,firms.atmos-funded.faqs[0].question,What is the Atmos Funded promo code?,¿Cuál es el código de descuento de Atmos Funded?,,Pendiente,
componentes/propinder,propinder,firms.atmos-funded.faqs[1].answer,"Yes, on one-step and two-step plans across all sizes up to $200K.","Sí, en los planes de un paso y de dos pasos, independientemente del importe, hasta 200.000 dólares.",,Pendiente,
componentes/propinder,propinder,firms.atmos-funded.faqs[1].question,Does the code work on every plan?,¿Funciona el código en todos los planes?,,Pendiente,
componentes/propinder,propinder,firms.atmos-funded.faqs[2].answer,The {{discount}}% discount has no listed end date.,El descuento del {{discount}}% no tiene fecha de finalización especificada.,,Pendiente,
componentes/propinder,propinder,firms.atmos-funded.faqs[2].question,How long does the offer last?,¿Cuánto dura la oferta?,,Pendiente,
componentes/propinder,propinder,firms.atmos-funded.faqs[3].answer,"Yes. It is agreed between Atmos Funded and Propinder, a platform powered by FXStreet.","Sí. Así lo han acordado Atmos Funded y Propinder, una plataforma impulsada por FXStreet.",,Pendiente,
componentes/propinder,propinder,firms.atmos-funded.faqs[3].question,Is PROPINDER an official Atmos Funded code?,¿Es PROPINDER un código oficial de Atmos Funded?,,Pendiente,
componentes/propinder,propinder,firms.atmos-funded.intro,"Use <strong>PROPINDER</strong> for a <strong>{{discount}}% discount on any account from Atmos Funded</strong>. It is a permanent benefit for Propinder users, <strong>with no expiry date.</strong>","Utiliza el código <strong>PROPINDER</strong> durante la compra para obtener un <strong>{{discount}}% de descuento</strong> en cualquier cuenta de <strong>Atmos Funded</strong>. Es un beneficio permanente para los usuarios de Propinder, sin fecha de caducidad.",,Pendiente,
componentes/propinder,propinder,firms.atmos-funded.logoAlt,Atmos Funded,Atmos Funded,,Pendiente,
