Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
componentes/world-interest-rates,world-interest-rates,intro.firstParagraph,"The World Interest Rates table reflects the current interest rates of the main countries around the world, set by their respective central banks. Rates typically reflect the health of individual economies, as in a perfect scenario, central banks tend to raise rates when the economy is growing and therefore instigate inflation.","La tabla de tipos de interes mundiales refleja los tipos de interes actuales de los principales paises del mundo, establecidos por sus respectivos bancos centrales. Los tipos suelen reflejar la salud de cada economia, ya que en un escenario ideal los bancos centrales tienden a subir los tipos cuando la economia crece y, por tanto, aumenta la inflacion.",,Pendiente,
componentes/world-interest-rates,world-interest-rates,intro.secondParagraph,"Rate cuts, on the other hand, are a way to stimulate a struggling economy. The table includes actual rates, latest policy changes and the date of upcoming meetings and decisions for the major ones.","Las bajadas de tipos, por el contrario, son una forma de estimular una economia debilitada. La tabla incluye tipos actuales, ultimos cambios de politica y la fecha de proximas reuniones y decisiones para los principales bancos centrales.",,Pendiente,
componentes/world-interest-rates,world-interest-rates,latestNews.blocks.boj,BOJ,BOJ,,Pendiente,
componentes/world-interest-rates,world-interest-rates,latestNews.blocks.centralBanks,Central Banks,Bancos centrales,,Pendiente,
componentes/world-interest-rates,world-interest-rates,latestNews.blocks.ecb,ECB,ECB,,Pendiente,
componentes/world-interest-rates,world-interest-rates,latestNews.blocks.fed,FED,FED,,Pendiente,
componentes/world-interest-rates,world-interest-rates,latestNews.blocks.rba,RBA,RBA,,Pendiente,
componentes/world-interest-rates,world-interest-rates,latestNews.emptyList,No central bank news available for this section.,No hay noticias de bancos centrales para esta sección.,,Pendiente,
componentes/world-interest-rates,world-interest-rates,latestNews.title,Latest central bank news,Ultimas noticias de bancos centrales,,Pendiente,
componentes/world-interest-rates,world-interest-rates,pageTitle,World Interest Rates,Tipos de interes mundiales,,Pendiente,
componentes/world-interest-rates,world-interest-rates,tables.columns.centralBank,Central Banks,Bancos centrales,,Pendiente,
componentes/world-interest-rates,world-interest-rates,tables.columns.country,Country,País,,Pendiente,
componentes/world-interest-rates,world-interest-rates,tables.columns.currentInterestRate,Current Interest Rate,Tipo de interés actual,,Pendiente,
componentes/world-interest-rates,world-interest-rates,tables.columns.lastChangeLegacy,Last Change,Último cambio,,Pendiente,
componentes/world-interest-rates,world-interest-rates,tables.columns.nextMeetingShort,Next Meeting,Próxima reunión,,Pendiente,
componentes/world-interest-rates,world-interest-rates,tables.columns.previousLegacy,Previous,Anterior,,Pendiente,
componentes/world-interest-rates,world-interest-rates,tables.empty,No data available.,No hay datos disponibles.,,Pendiente,
componentes/world-interest-rates,world-interest-rates,tables.majors.title,Major Central Banks Overview,Panorama de los principales bancos centrales,,Pendiente,
componentes/world-interest-rates,world-interest-rates,tables.regions.fallbackTitle,Regional interest rates,Tipos por región,,Pendiente,
