Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
home,CashbackWidget,averagePositionSize,Average Position Size,Tamaño medio de posición,,Pendiente,
home,CashbackWidget,day,day,día,,Pendiente,
home,CashbackWidget,disclaimer,The total shown reflects the highest cashback rebate from the broker.,El total mostrado refleja el mayor reembolso cashback del bróker.,,Pendiente,
home,CashbackWidget,estimatedSavings,Estimated Savings: *,Ahorro estimado: *,,Pendiente,
home,CashbackWidget,noBrokersFound,No brokers found,No se encontraron brókers,,Pendiente,
home,CashbackWidget,searchBroker,Search broker...,Buscar bróker...,,Pendiente,
home,CashbackWidget,selectYourBroker,Select your broker *,Selecciona tu bróker *,,Pendiente,
home,CashbackWidget,startNow,Start Now,Empezar ahora,,Pendiente,
home,CashbackWidget,title,Join FXStreet Cashback. Turn your trades into savings.,Únete a FXStreet Cashback. Convierte tus operaciones en ahorro.,,Pendiente,
home,CashbackWidget,tradesPerDay,Trades per Day,Operaciones por día,,Pendiente,
home,CashbackWidget,viewCompatibleBrokers,View compatible brokers,Ver brókers compatibles,,Pendiente,
home,CashbackWidget,viewRecommendedBrokers,View recommended brokers,Ver brókers recomendados,,Pendiente,
home,SubHomeShowcases,Header.title,Best of {year},Mejores de {year},,Pendiente,
home,SubHomeShowcases,disclaimer,"We're committed to the highest standards of editorial integrity. Still, it's crucial to recognize that some products we mention come from our partners. <a href=""/info/advertising-model"" class=""underline hover:text-main-primary"">Here's an insight into how we make money.</a> While we strive to be comprehensive, the compensation we receive can influence the products, companies, or services we showcase and review. Not all available options may be featured on this page.","Nos comprometemos con los más altos estándares de integridad editorial. Aun así, es importante reconocer que algunos productos que mencionamos provienen de nuestros partners. <a href=""/info/advertising-model"" class=""underline hover:text-main-primary"">Aquí tienes información sobre cómo ganamos dinero.</a> Aunque nos esforzamos por ser exhaustivos, la compensación que recibimos puede influir en los productos, empresas o servicios que destacamos y revisamos. No todas las opciones disponibles pueden aparecer en esta página.",,Pendiente,
