Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
componentes/central-bank-detail,central-bank-detail,banks.boc.faqs[0].answer,"The Bank of Canada (BoC) is the nation's central bank. Its principal role, as defined in the Bank of Canada Act, is ""to promote the economic and financial welfare of Canada."" The bank's responsibilities are divided into four main areas: Monetary policy: The bank influences the supply of money in the economy, using its monetary policy framework to keep low and stable inflation. Financial system: The bank promotes safe, sound, and efficient financial systems within Canada and internationally, conducting transactions in financial markets to support these objectives. Currency: The bank designs, issues, and distributes Canada's banknotes. Funds management: The bank is the fiscal agent for the Government of Canada, managing its public debt programs and foreign exchange reserves. The Bank of Canada (BoC) sets interest rates and manages monetary policy at eight scheduled meetings a year and ad hoc emergency meetings that are held as required. The BoC's primary mandate is to maintain price stability, which means keeping inflation at between 1-3%. Its main tool for achieving this is by raising or lowering interest rates. Relatively high interest rates will usually result in a stronger Canadian Dollar (CAD) and vice versa. Other tools used include quantitative easing and tightening. The official website, on X and YouTube.","<p>El Banco de CanadÃ¡ (BoC) es el banco central de la naciÃ³n. Su funciÃ³n principal, segÃºn se define en la Ley del Banco de CanadÃ¡, es ""promover el bienestar econÃ³mico y financiero de CanadÃ¡"". Las responsabilidades del banco se dividen en cuatro Ã¡reas principales:</p><ul><li>PolÃ­tica monetaria: El banco influye en la oferta de dinero en la economÃ­a, utilizando su marco de polÃ­tica monetaria para mantener una inflaciÃ³n baja y estable.</li><li>Sistema financiero: El banco promueve sistemas financieros seguros, sÃ³lidos y eficientes dentro de CanadÃ¡ y a nivel internacional, realizando transacciones en los mercados financieros para apoyar estos objetivos.</li><li>Divisa: El banco diseÃ±a, emite y distribuye los billetes de CanadÃ¡.</li><li>GestiÃ³n de fondos: El banco es el agente fiscal del Gobierno de CanadÃ¡, gestionando sus programas de deuda pÃºblica y reservas de divisas.</li></ul><p>El Banco de CanadÃ¡ (BoC) establece las tasas de interÃ©s y gestiona la polÃ­tica monetaria en ocho reuniones programadas al aÃ±o y reuniones de emergencia puntuales que se celebran segÃºn sea necesario. El mandato principal del BoC es mantener la estabilidad de precios, lo que significa mantener la inflaciÃ³n entre el 1-3%. Su herramienta principal para lograr esto es aumentar o disminuir las tasas de interÃ©s. Los tipos de interÃ©s relativamente altas generalmente resultarÃ¡n en un DÃ³lar canadiense (CAD) mÃ¡s fuerte y viceversa. Otras herramientas utilizadas incluyen la flexibilizaciÃ³n y el endurecimiento cuantitativo. PÃ¡gina web oficial, en X y YouTube.</p>",,Pendiente,
componentes/central-bank-detail,central-bank-detail,banks.boc.faqs[0].question,What is the BoC?,Â¿QuÃ© es el BOC?,,Pendiente,
componentes/central-bank-detail,central-bank-detail,banks.boc.faqs[1].answer,"Tiff Macklem was born in MontrÃ©al, Quebec, in 1961. He was appointed Governor of the Bank of Canada, effective 3 June 2020, for a seven-year term. He is the tenth governor of the Bank of Canada. As Governor, he is also Chairman of the Board of Directors of the Bank for International Settlements (BIS). He currently chairs both, the BIS Audit Committee and the Consultative Council for the Americas. Macklem on his BOC's profile and Wikipedia.","Tiff Macklem naciÃ³ en Montreal, Quebec, en 1961. Fue nombrado gobernador del Banco de CanadÃ¡, con efecto a partir del 3 de junio de 2020, por un perÃ­odo de siete aÃ±os. Es el dÃ©cimo gobernador del Banco de CanadÃ¡. Como gobernador, tambiÃ©n es presidente de la Junta Directiva del Banco de Pagos Internacionales (BIS). Actualmente preside tanto el ComitÃ© de AuditorÃ­a del BIS como el Consejo Consultivo para las AmÃ©ricas. Tiff Macklem en su perfil del BoC y Wikipedia.",,Pendiente,
componentes/central-bank-detail,central-bank-detail,banks.boc.faqs[1].question,Who is BoC's Governor?,Â¿QuiÃ©n es el gobernador del BoC?,,Pendiente,
componentes/central-bank-detail,central-bank-detail,banks.boc.seo.description,What to expect from the Bank of Canada? News and analysis on BoC monetary policy and its impact on the Canadian Dollar.,QuÃ© esperar del Banco de CanadÃ¡. Noticias y anÃ¡lisis sobre la polÃ­tica monetaria del BoC.,,Pendiente,
componentes/central-bank-detail,central-bank-detail,banks.boc.seo.keywords,"boc, bank of canada, forex, cad, interest rate","boc, banco de canada, forex, cad",,Pendiente,
componentes/central-bank-detail,central-bank-detail,banks.boc.seo.pageTitle,Bank of Canada (BoC),Banco de CanadÃ¡ (BoC),,Pendiente,
componentes/central-bank-detail,central-bank-detail,banks.boc.seo.socialImageUrl,https://editorial.azureedge.net/images/Macroeconomics/CentralBanks/FED/federal-reserve-facade-7769724_Small.jpg,https://editorial.azureedge.net/images/Macroeconomics/CentralBanks/FED/federal-reserve-facade-7769724_Small.jpg,,Pendiente,
componentes/central-bank-detail,central-bank-detail,banks.boc.seo.title,Bank of Canada (BoC),Banco de CanadÃ¡ (BoC),,Pendiente,
componentes/central-bank-detail,central-bank-detail,banks.boe.faqs[0].answer,"Founded in 1694, the Bank of England (BoE) is the central bank of the United Kingdom (UK). Known as 'The old lady of Threadneedle Street', the bank's mission is ""to promote the good of the people of the United Kingdom by maintaining monetary and financial stability"". The Bank of England is responsible for maintaining the UK's economic stability. It operates monetary policy by adjusting the Bank Rate and, in certain circumstances, supplements this with measures such as quantitative easing. The Bank of England decides monetary policy for the United Kingdom. Its primary goal is to achieve a steady inflation rate of 2%. Its tool for achieving this is via the adjustment of base lending rates. The BoE sets the rate at which it lends to commercial banks and banks lend to each other, determining the level of interest rates in the economy overall. This also impacts the value of the Pound Sterling (GBP). The official website, on X and YouTube.","Fundado en 1694, el Banco de Inglaterra (BoE) es el banco central del Reino Unido (UK). Conocido como 'La vieja dama de Threadneedle Street', la misiÃ³n del banco es ""promover el bienestar del pueblo del Reino Unido manteniendo la estabilidad monetaria y financiera"". El Banco de Inglaterra es responsable de mantener la estabilidad econÃ³mica del Reino Unido. Opera la polÃ­tica monetaria ajustando la Tasa del Banco y, en ciertas circunstancias, complementa esto con medidas como la flexibilizaciÃ³n cuantitativa. El Banco de Inglaterra decide la polÃ­tica monetaria para el Reino Unido. Su objetivo principal es lograr una tasa de inflaciÃ³n estable del 2%. Su herramienta para lograr esto es a travÃ©s del ajuste de las tasas de interÃ©s bÃ¡sicas. El BoE establece la tasa a la que presta a los bancos comerciales y los bancos se prestan entre sÃ­, determinando el nivel de las tasas de interÃ©s en la economÃ­a en general. Esto tambiÃ©n impacta el valor de la Libra esterlina (GBP). El sitio web oficial, en X y YouTube.",,Pendiente,
componentes/central-bank-detail,central-bank-detail,banks.boe.faqs[0].question,What is the BoE?,Â¿QuÃ© es el BoE?,,Pendiente,
componentes/central-bank-detail,central-bank-detail,banks.boe.faqs[1].answer,"Andrew Bailey has been the Governor of the BoE since March 2020 and his appointment ends on March 2028. Previously, he served in the BoE as its Chief Cashier, Deputy Governor for Prudential Regulation and Chief Executive of the Financial Conduct Authority. Bailey on his profile and Wikipedia.","Andrew Bailey ha sido el gobernador del BoE desde marzo de 2020 y su mandato finaliza en marzo de 2028. Anteriormente, se desempeÃ±Ã³ en el BoE como su Tesorero Principal, Vicegobernador de RegulaciÃ³n Prudencial y Director Ejecutivo de la Autoridad de Conducta Financiera. Andrew Bailey en su perfil y Wikipedia.",,Pendiente,
componentes/central-bank-detail,central-bank-detail,banks.boe.faqs[1].question,Who is BoE's Governor?,Â¿QuiÃ©n es el Gobernador del BoE?,,Pendiente,
componentes/central-bank-detail,central-bank-detail,banks.boe.seo.description,What to expect from the Bank of England? News and analysis on BoE monetary policy and its impact on currencies.,QuÃ© esperar del Banco de Inglaterra. Noticias y anÃ¡lisis sobre la polÃ­tica monetaria del BoE.,,Pendiente,
componentes/central-bank-detail,central-bank-detail,banks.boe.seo.keywords,"boe, bank of england, forex, gbp, interest rate","boe, banco de inglaterra, forex, gbp",,Pendiente,
componentes/central-bank-detail,central-bank-detail,banks.boe.seo.pageTitle,Bank of England (BoE),Banco de Inglaterra (BoE),,Pendiente,
componentes/central-bank-detail,central-bank-detail,banks.boe.seo.socialImageUrl,https://editorial.azureedge.net/images/Macroeconomics/CentralBanks/FED/federal-reserve-facade-7769724_Small.jpg,https://editorial.azureedge.net/images/Macroeconomics/CentralBanks/FED/federal-reserve-facade-7769724_Small.jpg,,Pendiente,
componentes/central-bank-detail,central-bank-detail,banks.boe.seo.title,Bank of England (BoE) - Forex News & Articles,Banco de Inglaterra (BoE) - Noticias y artÃ­culos de Forex,,Pendiente,
componentes/central-bank-detail,central-bank-detail,banks.boj.faqs[0].answer,"The Bank of Japan (BoJ) is the central bank of Japan. Established under the Bank of Japan Act in 1882, it is a juridical entity and neither a government agency nor a private corporation. The BoJ sets monetary policy in the country. Its mandate is to issue banknotes and carry out currency and monetary control to ensure price stability, which means an inflation target of around 2%. Policy Board: The Policy Board is the bank's highest decision-making body. It determines the guidelines for currency and monetary control, sets the basic principles for carrying out the bank's operations and oversees the performance of the bank's officers, excluding auditors and counselors. History: The Bank of Japan was established under the Bank of Japan Act, promulgated in June 1882, and began operating as the nation's central bank on October 10, 1882. It was reorganized in 1942 under the Bank of Japan Act of 1942, which reflected the wartime context. The Act of 1942 was amended several times after World War II, and the establishment of the Policy Board as the bank's highest decision-making body occurred in June 1949. In June 1997, the Act of 1942 was revised completely under the principles of independence and transparency. The revised Act came into effect on April 1, 1998.","<p>El Banco de JapÃ³n (BoJ) es el banco central de JapÃ³n. Establecido bajo la Ley del Banco de JapÃ³n en 1882, es una entidad jurÃ­dica y no una agencia gubernamental ni una corporaciÃ³n privada. El BoJ establece la polÃ­tica monetaria en el paÃ­s. Su mandato es emitir billetes y llevar a cabo el control de la moneda y la polÃ­tica monetaria para garantizar la estabilidad de precios, lo que significa un objetivo de inflaciÃ³n de alrededor del 2%.</p><p>Junta de PolÃ­tica: La Junta de PolÃ­tica es el Ã³rgano de decisiÃ³n mÃ¡s alto del banco. Determina las directrices para el control de la moneda y la polÃ­tica monetaria, establece los principios bÃ¡sicos para llevar a cabo las operaciones del banco y supervisa el desempeÃ±o de los funcionarios del banco, excluyendo a los auditores y consejeros.</p><p>Historia: El Banco de JapÃ³n fue establecido bajo la Ley del Banco de JapÃ³n, promulgada en junio de 1882, y comenzÃ³ a operar como el banco central de la naciÃ³n el 10 de octubre de 1882. Fue reorganizado en 1942 bajo la Ley del Banco de JapÃ³n de 1942, que reflejaba el contexto de guerra. La Ley de 1942 fue enmendada varias veces despuÃ©s de la Segunda Guerra Mundial, y la creaciÃ³n de la Junta de PolÃ­tica como el Ã³rgano de decisiÃ³n mÃ¡s alto del banco ocurriÃ³ en junio de 1949. En junio de 1997, la Ley de 1942 fue revisada completamente bajo los principios de independencia y transparencia. La Ley revisada entrÃ³ en vigor el 1 de abril de 1998. El Sitio Web Oficial, en X y YouTube.</p>",,Pendiente,
componentes/central-bank-detail,central-bank-detail,banks.boj.faqs[0].question,What is the BoJ?,Â¿QuÃ© es el BoJ?,,Pendiente,
componentes/central-bank-detail,central-bank-detail,banks.boj.faqs[1].answer,"Kazuo Ueda was born in Makinohara, Japan, on September 20, 1951. He is the 32nd and current Governor of the BoJ. He graduated from the University of Tokyo with a Bachelor of Science and Mathematics and received a PhD in economics from the Massachusetts Institute of Technology (MIT). He is a professor emeritus at the University of Tokyo and also worked as a professor at Kyoritsu Women's University. In February 2023, former Prime Minister Fumio Kishida nominated Ueda as the governor of the BoJ. He is widely regarded as an expert on monetary policy but was considered a surprise appointment by analysts. He wasn't even considered a dark-horse candidate, as the BoJ governor role has traditionally gone to long-serving Finance Ministry bureaucrats or central bank officials. Ueda is the first academic economist to lead the BoJ in the post-World War II era. Ueda on his Wikipedia's profile.","Kazuo Ueda naciÃ³ en Makinohara, JapÃ³n, el 20 de septiembre de 1951. Es el 32Âº y actual gobernador del BoJ. Se graduÃ³ de la Universidad de Tokio con una licenciatura en Ciencias y MatemÃ¡ticas y recibiÃ³ un doctorado en economÃ­a del Instituto TecnolÃ³gico de Massachusetts (MIT). Es profesor emÃ©rito en la Universidad de Tokio y tambiÃ©n trabajÃ³ como profesor en la Universidad de Mujeres Kyoritsu. En febrero de 2023, el ex Primer Ministro Fumio Kishida nominÃ³ a Ueda como gobernador del BoJ. Es ampliamente considerado un experto en polÃ­tica monetaria, pero fue visto como un nombramiento sorpresa por los analistas. Ni siquiera fue considerado un candidato oscuro, ya que el rol de gobernador del BoJ ha ido tradicionalmente a burÃ³cratas del Ministerio de Finanzas de larga trayectoria o a funcionarios del banco central. Ueda es el primer economista acadÃ©mico en liderar el BoJ en la era posterior a la Segunda Guerra Mundial. Ueda en su perfil de Wikipedia.",,Pendiente,
componentes/central-bank-detail,central-bank-detail,banks.boj.faqs[1].question,Who is BoJ's Governor?,Â¿QuiÃ©n es el gobernador del BoJ?,,Pendiente,
componentes/central-bank-detail,central-bank-detail,banks.boj.seo.description,What to expect from the Bank of Japan? News and analysis on BoJ monetary policy and its impact on the Japanese Yen.,QuÃ© esperar del Banco de JapÃ³n. Noticias y anÃ¡lisis sobre la polÃ­tica monetaria del BoJ.,,Pendiente,
componentes/central-bank-detail,central-bank-detail,banks.boj.seo.keywords,"boj, bank of japan, forex, jpy, interest rate","boj, banco de japon, forex, jpy",,Pendiente,
componentes/central-bank-detail,central-bank-detail,banks.boj.seo.pageTitle,Bank of Japan (BoJ),Banco de JapÃ³n (BoJ),,Pendiente,
componentes/central-bank-detail,central-bank-detail,banks.boj.seo.socialImageUrl,https://editorial.azureedge.net/images/Macroeconomics/CentralBanks/FED/federal-reserve-facade-7769724_Small.jpg,https://editorial.azureedge.net/images/Macroeconomics/CentralBanks/FED/federal-reserve-facade-7769724_Small.jpg,,Pendiente,
componentes/central-bank-detail,central-bank-detail,banks.boj.seo.title,Bank of Japan (BoJ) latest data and news,Banco de JapÃ³n (BoJ) - Ãšltimos datos y noticias,,Pendiente,
componentes/central-bank-detail,central-bank-detail,banks.ecb.faqs[0].answer,"The European Central Bank (ECB) is the central bank empowered to manage monetary policy for the Eurozone. With its beginnings in Germany in 1998, the ECB's mandate is to maintain price stability in the Eurozone, so that the Euro's (EUR) purchasing power is not eroded by inflation. As an entity independent of individual European Union countries and institutions, the ECB targets a year-on-year increase in consumer prices of 2% over the medium term. Another of its tasks is controlling the money supply. This involves, for instance, setting interest rates throughout the Eurozone. The European Central Bank's work is organized via the following decision-making bodies: the Executive Board, the Governing Council and the General Council. Christine Lagarde has been the President of the ECB since November 1, 2019. Her speeches, statements and comments are an important source of volatility, especially for the Euro and the currencies traded against the European currency.","El Banco Central Europeo (BCE) es el banco central encargado de gestionar la polÃ­tica monetaria para la Eurozona. Con sus inicios en Alemania en 1998, el mandato del BCE es mantener la estabilidad de precios en la Eurozona, de modo que el poder adquisitivo del Euro (EUR) no se vea erosionado por la inflaciÃ³n. Como entidad independiente de los paÃ­ses e instituciones individuales de la UniÃ³n Europea, el BCE tiene como objetivo un aumento interanual de los precios al consumidor del 2% a medio plazo. Otra de sus tareas es controlar la oferta monetaria. Esto implica, por ejemplo, establecer tasas de interÃ©s en toda la Eurozona. El trabajo del Banco Central Europeo se organiza a travÃ©s de los siguientes Ã³rganos de toma de decisiones: la Junta Ejecutiva, el Consejo de Gobierno y el Consejo General. Christine Lagarde ha sido la Presidenta del BCE desde el 1 de noviembre de 2019. Sus discursos, declaraciones y comentarios son una fuente importante de volatilidad, especialmente para el Euro y las divisas que se negocian frente a la moneda europea. PÃ¡gina Web Oficial, en X y YouTube.",,Pendiente,
componentes/central-bank-detail,central-bank-detail,banks.ecb.faqs[0].question,What is the ECB?,Â¿QuÃ© es el BCE?,,Pendiente,
componentes/central-bank-detail,central-bank-detail,banks.ecb.faqs[1].answer,"Christine Lagarde was born in 1956 in Paris, France. Lagarde, who graduated from Paris West University Nanterre La DÃ©fense, became President of the European Central Bank (ECB) on November 1, 2019. Prior to that, she served as Chairman and Managing Director of the International Monetary Fund (IMF) between 2011 and 2019. Lagarde previously held various senior ministerial posts in the Government of France: she was Minister of the Economy, Finance and Industry (2007-2011), Minister of Agriculture and Fishing (2007) and Minister of Commerce (2005-2007).","Christine Lagarde naciÃ³ en 1956 en ParÃ­s, Francia. Lagarde, quien se graduÃ³ de la Universidad de ParÃ­s Oeste Nanterre La DÃ©fense, se convirtiÃ³ en Presidenta del Banco Central Europeo (BCE) el 1 de noviembre de 2019. Antes de eso, se desempeÃ±Ã³ como Presidenta y Directora Gerente del Fondo Monetario Internacional (FMI) entre 2011 y 2019. Lagarde ocupÃ³ anteriormente varios altos cargos ministeriales en el Gobierno de Francia: fue Ministra de EconomÃ­a, Finanzas e Industria (2007-2011), Ministra de Agricultura y Pesca (2007) y Ministra de Comercio (2005-2007).",,Pendiente,
componentes/central-bank-detail,central-bank-detail,banks.ecb.faqs[1].question,Who is ECB's President?,Â¿QuiÃ©n es el presidente del BCE?,,Pendiente,
