Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
componentes/central-banks,central-banks,intro,"The World Interest Rates Table reflects the current interest rates of the main countries around the world, set by their respective Central Banks. Rates typically reflect the health of individual economies, as in a perfect scenario, Central Banks tend to rise rates when the economy is growing and therefore instigate inflation.","La tabla de tipos de interes mundiales refleja los tipos de interes actuales de los principales paises del mundo, establecidos por sus respectivos bancos centrales. Los tipos suelen reflejar la salud de cada economia, ya que en un escenario ideal los bancos centrales tienden a subir los tipos cuando la economia crece y, por tanto, aumenta la inflacion.",,Pendiente,
componentes/central-banks,central-banks,listings.analysis,Central Banks Latest Analysis,Ultimo analisis de bancos centrales,,Pendiente,
componentes/central-banks,central-banks,listings.education,Central Banks Education Reports,Informes educativos de bancos centrales,,Pendiente,
componentes/central-banks,central-banks,listings.news,Central Banks Latest News,Ultimas noticias de bancos centrales,,Pendiente,
componentes/central-banks,central-banks,pageTitle,Central Bank | Forex Exchange Rates,Bancos centrales,,Pendiente,
componentes/central-banks,central-banks,seo.description,Everything you need to keep informed about Central Banks. Check FXStreet's high quality resources.,Todo lo que necesitas para estar informado sobre bancos centrales. Consulta los recursos de calidad de FXStreet.,,Pendiente,
componentes/central-banks,central-banks,seo.keywords,"centralbanks,ecb,fed,boe,boj,boc,rbnz,rba","bancoscentrales,ecb,fed,boe,boj,boc,rbnz,rba",,Pendiente,
componentes/central-banks,central-banks,seo.pageTitle,Central Banks,Bancos centrales,,Pendiente,
componentes/central-banks,central-banks,seo.path,/macroeconomics/central-banks,/macroeconomics/central-banks,,Pendiente,
componentes/central-banks,central-banks,seo.socialImageUrl,https://editorial.azureedge.net/images/Macroeconomics/CentralBanks/FED/federal-reserve-facade-7769724_Small.jpg,https://editorial.azureedge.net/images/Macroeconomics/CentralBanks/FED/federal-reserve-facade-7769724_Small.jpg,,Pendiente,
componentes/central-banks,central-banks,seo.title,Central Banks,Bancos centrales,,Pendiente,
componentes/central-banks,central-banks,sidebar.brokerCarouselTitle,Best brokers in your location,Los mejores brókers en tu ubicación,,Pendiente,
