Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
componentes/forecast-chart,forecast-chart,bubbleTooltip.analysts,Analysts:,Analistas:,,Pendiente,
componentes/forecast-chart,forecast-chart,bubbleTooltip.price,Price:,Precio:,,Pendiente,
componentes/forecast-chart,forecast-chart,horizons.month,1 Month,1 Mes,,Pendiente,
componentes/forecast-chart,forecast-chart,horizons.quarter,3 Months,3 Meses,,Pendiente,
componentes/forecast-chart,forecast-chart,horizons.week,1 Week,1 Semana,,Pendiente,
componentes/forecast-chart,forecast-chart,loadError,Forecast chart data could not be loaded. Please try again.,No se pudieron cargar los datos del gráfico de pronóstico. Inténtalo de nuevo.,,Pendiente,
componentes/forecast-chart,forecast-chart,sentiment.Bearish,Bearish,Bajista,,Pendiente,
componentes/forecast-chart,forecast-chart,sentiment.Bullish,Bullish,Alcista,,Pendiente,
componentes/forecast-chart,forecast-chart,sentiment.Sideways,Sideways,Lateral,,Pendiente,
componentes/forecast-chart,forecast-chart,series.bearishPercent,Bearish,Bajista,,Pendiente,
componentes/forecast-chart,forecast-chart,series.bullishPercent,Bullish,Alcista,,Pendiente,
componentes/forecast-chart,forecast-chart,series.closePrice,Close Price,Precio de cierre,,Pendiente,
componentes/forecast-chart,forecast-chart,series.forecastAverage,Average,Promedio,,Pendiente,
componentes/forecast-chart,forecast-chart,series.highPrice,Max,Máx,,Pendiente,
componentes/forecast-chart,forecast-chart,series.lowPrice,Min,Mín,,Pendiente,
componentes/forecast-chart,forecast-chart,series.mean,Mean,Media,,Pendiente,
componentes/forecast-chart,forecast-chart,series.minim,Minim,Mín,,Pendiente,
componentes/forecast-chart,forecast-chart,series.monthForecast,1 Month,1 Mes,,Pendiente,
componentes/forecast-chart,forecast-chart,series.priceMedian,Median,Mediana,,Pendiente,
componentes/forecast-chart,forecast-chart,series.priceMode,Mode,Moda,,Pendiente,
componentes/forecast-chart,forecast-chart,series.quarterForecast,3 Months,3 Meses,,Pendiente,
componentes/forecast-chart,forecast-chart,series.shiftedClosePrice,Shifted Price,Precio desplazado,,Pendiente,
componentes/forecast-chart,forecast-chart,series.sidewaysPercent,Sideways,Lateral,,Pendiente,
componentes/forecast-chart,forecast-chart,series.smoothAverage,Smooth Average,Promedio suavizado,,Pendiente,
componentes/forecast-chart,forecast-chart,series.weekForecast,1 Week,1 Semana,,Pendiente,
componentes/forecast-chart,forecast-chart,series.weeklyPriceChange,Price Change,Cambio de precio,,Pendiente,
componentes/forecast-chart,forecast-chart,views.averages,Averages,Promedios,,Pendiente,
componentes/forecast-chart,forecast-chart,views.bias,Bias,Sesgo,,Pendiente,
componentes/forecast-chart,forecast-chart,views.minMax,Min/Max,Mín/Máx,,Pendiente,
componentes/forecast-chart,forecast-chart,views.overview,Overview,Resumen,,Pendiente,
componentes/forecast-chart,forecast-chart,views.priceChange,Price Change,Cambio de precio,,Pendiente,
componentes/forecast-chart,forecast-chart,views.shiftedPrice,Shifted Price,Precio desplazado,,Pendiente,
componentes/forecast-chart,forecast-chart,views.smoothAverage,Smooth Average,Promedio suavizado,,Pendiente,
