Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
componentes/key-technicals-table,key-technicals-table,assetList.cadCrosses,CAD Crosses,Cruces CAD,,Pendiente,
componentes/key-technicals-table,key-technicals-table,assetList.commodities,Commodities,Materias primas,,Pendiente,
componentes/key-technicals-table,key-technicals-table,assetList.eurCrosses,EUR Crosses,Cruces EUR,,Pendiente,
componentes/key-technicals-table,key-technicals-table,assetList.gbpCrosses,GBP Crosses,Cruces GBP,,Pendiente,
componentes/key-technicals-table,key-technicals-table,assetList.indices,Indices,Índices,,Pendiente,
componentes/key-technicals-table,key-technicals-table,assetList.jpyCrosses,JPY Crosses,Cruces JPY,,Pendiente,
componentes/key-technicals-table,key-technicals-table,assetList.majors,Majors,Principales,,Pendiente,
componentes/key-technicals-table,key-technicals-table,assetList.title,Asset List,Lista de activos,,Pendiente,
componentes/key-technicals-table,key-technicals-table,assetList.usdCrosses,USD Crosses,Cruces USD,,Pendiente,
componentes/key-technicals-table,key-technicals-table,empty,No technical levels available for this indicator.,No hay niveles técnicos disponibles para este indicador.,,Pendiente,
componentes/key-technicals-table,key-technicals-table,error,Technical levels could not be loaded. Please try again.,No se pudieron cargar los niveles técnicos. Inténtalo de nuevo.,,Pendiente,
componentes/key-technicals-table,key-technicals-table,lastUpdated,Last updated at {time} GMT,Última actualización a las {time} GMT,,Pendiente,
componentes/key-technicals-table,key-technicals-table,levels.FiboLevel161,161.8%,"161,8%",,Pendiente,
componentes/key-technicals-table,key-technicals-table,levels.FiboLevel23,23.6%,"23,6%",,Pendiente,
componentes/key-technicals-table,key-technicals-table,levels.FiboLevel38,38.2%,"38,2%",,Pendiente,
componentes/key-technicals-table,key-technicals-table,levels.FiboLevel61,61.8%,"61,8%",,Pendiente,
componentes/key-technicals-table,key-technicals-table,levels.Last15MHigh,15M High,Máx. 15M,,Pendiente,
componentes/key-technicals-table,key-technicals-table,levels.Last15MLow,15M Low,Mín. 15M,,Pendiente,
componentes/key-technicals-table,key-technicals-table,levels.Last1DHigh,Daily High,Máx. diario,,Pendiente,
componentes/key-technicals-table,key-technicals-table,levels.Last1DLow,Daily Low,Mín. diario,,Pendiente,
componentes/key-technicals-table,key-technicals-table,levels.Last1HHigh,1H High,Máx. 1H,,Pendiente,
componentes/key-technicals-table,key-technicals-table,levels.Last1HLow,1H Low,Mín. 1H,,Pendiente,
componentes/key-technicals-table,key-technicals-table,levels.Last4HHigh,4H High,Máx. 4H,,Pendiente,
componentes/key-technicals-table,key-technicals-table,levels.Last4HLow,4H Low,Mín. 4H,,Pendiente,
componentes/key-technicals-table,key-technicals-table,levels.LastMonthHigh,Monthly High,Máx. mensual,,Pendiente,
componentes/key-technicals-table,key-technicals-table,levels.LastMonthLow,Monthly Low,Mín. mensual,,Pendiente,
componentes/key-technicals-table,key-technicals-table,levels.LastWeekHigh,Weekly High,Máx. semanal,,Pendiente,
componentes/key-technicals-table,key-technicals-table,levels.LastWeekLow,Weekly Low,Mín. semanal,,Pendiente,
componentes/key-technicals-table,key-technicals-table,levels.LastYearHigh,Year High,Máx. anual,,Pendiente,
componentes/key-technicals-table,key-technicals-table,levels.LastYearLow,Year Low,Mín. anual,,Pendiente,
componentes/key-technicals-table,key-technicals-table,levels.LowerBand,Lower Band,Banda inferior,,Pendiente,
componentes/key-technicals-table,key-technicals-table,levels.MiddleBand,Middle Band,Banda media,,Pendiente,
componentes/key-technicals-table,key-technicals-table,levels.PivotPoint,Pivot,Pivote,,Pendiente,
componentes/key-technicals-table,key-technicals-table,levels.R1,R1,R1,,Pendiente,
componentes/key-technicals-table,key-technicals-table,levels.R2,R2,R2,,Pendiente,
componentes/key-technicals-table,key-technicals-table,levels.R3,R3,R3,,Pendiente,
componentes/key-technicals-table,key-technicals-table,levels.S1,S1,S1,,Pendiente,
componentes/key-technicals-table,key-technicals-table,levels.S2,S2,S2,,Pendiente,
componentes/key-technicals-table,key-technicals-table,levels.S3,S3,S3,,Pendiente,
componentes/key-technicals-table,key-technicals-table,levels.Sma10,SMA 10,SMA 10,,Pendiente,
componentes/key-technicals-table,key-technicals-table,levels.Sma100,SMA 100,SMA 100,,Pendiente,
componentes/key-technicals-table,key-technicals-table,levels.Sma20,SMA 20,SMA 20,,Pendiente,
componentes/key-technicals-table,key-technicals-table,levels.Sma200,SMA 200,SMA 200,,Pendiente,
componentes/key-technicals-table,key-technicals-table,levels.Sma5,SMA 5,SMA 5,,Pendiente,
componentes/key-technicals-table,key-technicals-table,levels.Sma50,SMA 50,SMA 50,,Pendiente,
componentes/key-technicals-table,key-technicals-table,levels.UpperBand,Upper Band,Banda superior,,Pendiente,
componentes/key-technicals-table,key-technicals-table,periods.Daily,Daily,Diario,,Pendiente,
componentes/key-technicals-table,key-technicals-table,periods.IntraDay15,15M,15M,,Pendiente,
componentes/key-technicals-table,key-technicals-table,periods.IntraDay240,4H,4H,,Pendiente,
componentes/key-technicals-table,key-technicals-table,periods.IntraDay60,1H,1H,,Pendiente,
componentes/key-technicals-table,key-technicals-table,periods.Monthly,Monthly,Mensual,,Pendiente,
componentes/key-technicals-table,key-technicals-table,periods.Weekly,Weekly,Semanal,,Pendiente,
componentes/key-technicals-table,key-technicals-table,tabs.BollingerBands,Bollinger Bands,Bollinger Bands,,Pendiente,
componentes/key-technicals-table,key-technicals-table,tabs.Fibonacci,Fibonacci,Fibonacci,,Pendiente,
componentes/key-technicals-table,key-technicals-table,tabs.HistoricalPrice,High/Lows,Máx/Mín,,Pendiente,
componentes/key-technicals-table,key-technicals-table,tabs.PivotPoints,Pivot Points,Puntos pivote,,Pendiente,
componentes/key-technicals-table,key-technicals-table,tabs.Sma,SMA,SMA,,Pendiente,
