Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
directory,Author,authoredPost,Authored {count} articles,Autor de {count} artículos,,Pendiente,
directory,Author,latestPosts,Latest Posts by {authorName},Últimas publicaciones de {authorName},,Pendiente,
directory,BecomeContributor,Analysis.content,"Publish your analysis articles, be it fundamental or technical analysis, trading ideas or forecast. We mainly cover Forex and Cryptocurrencies, but also related markets as stocks, equities or commodities.","Publica tus artículos de análisis, ya sea análisis fundamental o técnico, ideas de trading o pronósticos. Cubrimos principalmente Forex y Criptomonedas, pero también mercados relacionados como acciones, valores o materias primas.",,Pendiente,
directory,BecomeContributor,Analysis.title,Analysis,Análisis,,Pendiente,
directory,BecomeContributor,ExpertForecast.content,"A pool of selected traders and analysts gives us their targets for the major currencies for the week, month and quarter to come. They also indicate the whole trend in these periods. You can join the pool of experts and be part of our sentiment table. <link>Have a look at the Forecast Poll</link>.","Un grupo de traders y analistas seleccionados nos dan sus objetivos para las principales divisas para la semana, mes y trimestre venideros. También indican la tendencia general en estos períodos. Puedes unirte al grupo de expertos y ser parte de nuestra tabla de sentimiento. <link>Echa un vistazo a la Encuesta de Pronóstico</link>.",,Pendiente,
directory,BecomeContributor,ExpertForecast.link,/rates-charts/forecast,/rates-charts/forecast,,Pendiente,
directory,BecomeContributor,ExpertForecast.title,Experts Forecast Currencies Poll,Encuesta de Pronóstico de Divisas de Expertos,,Pendiente,
directory,BecomeContributor,HowToStart.content,"Check our Editorial Guidelines below and our <link>Ethical Code</link>, then <email>send us an email with your contribution proposal</email>. We will answer you as soon as possible.","Consulta nuestras Guías Editoriales a continuación y nuestro <link>Código Ético</link>, luego <email>envíanos un correo electrónico con tu propuesta de contribución</email>. Te responderemos lo antes posible.",,Pendiente,
directory,BecomeContributor,HowToStart.emailLink,/info/contact-us,/info/contact-us,,Pendiente,
directory,BecomeContributor,HowToStart.ethicalCodeLink,/info/ethical-code,/info/ethical-code,,Pendiente,
directory,BecomeContributor,HowToStart.title,How to start?,¿Cómo empezar?,,Pendiente,
directory,BecomeContributor,examples,"Several opportunities of contribution are available and we invite you to study all the options. The more you do on FXStreet, the more exposure you’ll gain!","Hay varias oportunidades de contribución disponibles y te invitamos a estudiar todas las opciones. ¡Cuanto más hagas en FXStreet, más exposición ganarás!",,Pendiente,
directory,BecomeContributor,intro,"FXStreet is in close collaboration with dozens of contributors and service providers from virtually every corner of the Forex universe. To continuously improve our services, we are always in search of new contributors with high-quality analysis and content to feed our website and give the best information to our users, the Forex traders. Collaborating with us, you will be part one of the most trusted source of Forex information website, who has been leading the way since 2000. With an audience of 1 million unique users every month on the English website alone, FXStreet will be your partner in making your a name and fame with the Forex traders, beginners or experienced.","FXStreet está en estrecha colaboración con docenas de colaboradores y proveedores de servicios de prácticamente todos los rincones del universo Forex. Para mejorar continuamente nuestros servicios, siempre estamos en busca de nuevos colaboradores con análisis y contenido de alta calidad para alimentar nuestro sitio web y brindar la mejor información a nuestros usuarios, los traders de Forex. Colaborando con nosotros, serás parte de una de las fuentes de información Forex más confiables, que ha estado liderando el camino desde el año 2000. Con una audiencia de 1 millón de usuarios únicos cada mes solo en el sitio web en inglés, FXStreet será tu socio para hacerte un nombre y fama entre los traders de Forex, principiantes o experimentados.",,Pendiente,
directory,BecomeContributor,title,Become a Contributor,Conviértete en Colaborador,,Pendiente,
directory,Company,authoredPost,Authored {count} articles,Autor de {count} artículos,,Pendiente,
directory,Company,latestPosts,Latest Posts by {companyName},Últimas publicaciones de {companyName},,Pendiente,
directory,ContactUs,title,Contact Us,Contacto,,Pendiente,
