Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
home,AuthorSection,author,Author,Autor,,Pendiente,
home,AuthorSection,moreFrom,More from,Más de,,Pendiente,
home,BestBrokersSection,title,Best brokers in your location,Los mejores brókers en tu ubicación,,Pendiente,
home,BestBrokersYearlySection,title,Best Brokers in {year},Mejores Brókers en {year},,Pendiente,
home,CryptocurrenciesSection,title,Cryptocurrencies,Criptodivisas,,Pendiente,
home,EditorialHighlightCalendarSection,moreInfo,More info,Ver más,,Pendiente,
home,EditorialHighlightCard,title,Forecast,Destacados,,Pendiente,
home,EditorialHighlightSection,title,Editor's Picks,Contenido Recomendado,,Pendiente,
home,EducationSection,title,Education,Educación,,Pendiente,
home,HomePage,description,Your trusted source for forex market information,Tu fuente confiable de información sobre el mercado forex,,Pendiente,
home,HomePage,latestNews,Latest News,Últimas Noticias,,Pendiente,
home,HomePage,title,Welcome to FXStreet!,¡Bienvenido a FXStreet!,,Pendiente,
home,InDeepAnalysisSection,title,In-Depth Analysis,Análisis en profundidad,,Pendiente,
home,IndustryNewsSection,subtitle, ad, anuncio,,Pendiente,
home,IndustryNewsSection,title,Press Releases,Notas de prensa,,Pendiente,
home,LiveCoverageSection,defaultTitle,Info live coverage,Información de cobertura en directo,,Pendiente,
home,LiveCoverageSection,goToLiveCoverage,Go to live coverage,Ir a la cobertura en directo,,Pendiente,
home,LiveCoverageSection,live,Live,En Directo,,Pendiente,
home,LiveCoverageSection,title,Live Coverage,Cobertura en Directo,,Pendiente,
home,MoreNewsSection,title,More News,Más Noticias,,Pendiente,
home,Newsletter,description,Stay ahead with key market trends from Orange Juice Newsletter.,Mantente al día con las tendencias clave del mercado con Orange Juice Newsletter.,,Pendiente,
home,Newsletter,emailLabel,Mail,Correo,,Pendiente,
home,Newsletter,emailPlaceholder,Enter your email address,Introduce tu dirección de correo,,Pendiente,
home,Newsletter,invalidEmail,The email address you entered is not valid! Try again!,¡La dirección de correo que introdujiste no es válida! ¡Inténtalo de nuevo!,,Pendiente,
home,Newsletter,promotionsCheckbox,"Yes, I also want to receive FXStreet promotions.","Sí, también quiero recibir promociones de FXStreet.",,Pendiente,
home,Newsletter,requiredFieldIndicator,*,*,,Pendiente,
home,Newsletter,subscribeButton,Subscribe,Suscribirse,,Pendiente,
home,Newsletter,subscribeLoading,Subscribing...,Suscribiéndose...,,Pendiente,
home,Newsletter,successMessage,Thank you! <login>Login</login> or <signup>sign up</signup> to manage your email preferences,¡Gracias! <login>Inicia sesión</login> o <signup>regístrate</signup> para gestionar tus preferencias de correo,,Pendiente,
home,Newsletter,termsAndConditions,By subscribing you agree to our <link>T&Cs</link>.,Al suscribirse acepta nuestros <link>T&C</link>.,,Pendiente,
home,Newsletter,termsAndConditionsLink,Terms and conditions,Términos y condiciones,,Pendiente,
home,Newsletter,title,Smart insights by real people. Every day.,Perspectivas inteligentes de personas reales. Todos los días.,,Pendiente,
home,Newsletter,unexpectedErrorMessage,An unexpected error occurred. Please try again later.,"Ocurrió un error inesperado. Por favor, inténtalo de nuevo.",,Pendiente,
home,StocksSection,title,Stocks,Acciones,,Pendiente,
home,WeeklyForecastSection,title,Weekly Forecast,Pronósticos semanales,,Pendiente,
