Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
posts,PostAuthorInfo,follow,Follow,Seguir,,Pendiente,
posts,PostListMultifeed,empty,No posts available,No hay artículos disponibles,,Pendiente,
posts,PostListMultifeed,latestAnalysis,Latest Analysis,Últimos análisis,,Pendiente,
posts,PostListMultifeed,latestContent,Latest Content,Último contenido,,Pendiente,
posts,PostListMultifeed,latestNews,Latest News,Últimas noticias,,Pendiente,
posts,PostListMultifeed,latestNewsAndAnalysis,Latest News and Analysis,Últimas noticias y análisis,,Pendiente,
posts,PostListMultifeed,latestNewsTag,Latest News {tag},Últimas noticias {tag},,Pendiente,
posts,PostListMultifeed,moreAnalysis,More Latest Analysis,Más análisis,,Pendiente,
posts,PostListMultifeed,moreNews,More Latest News,Más noticias,,Pendiente,
posts,PostMetadata,Analysis,Analysis,Análisis,,Pendiente,
posts,PostMetadata,Cryptos,Cryptos,Criptos,,Pendiente,
posts,PostMetadata,Education,Education,Educación,,Pendiente,
posts,PostMetadata,News,News,Noticias,,Pendiente,
posts,PostMetadata,PressReleases,Press Releases,Comunicados de prensa,,Pendiente,
posts,PostVerifiedTranslation,button,View Original Article,Ver Artículo Original,,Pendiente,
posts,PostVerifiedTranslation,unverified,Automatic translation,Traducción automática,,Pendiente,
posts,PostVerifiedTranslation,verified,Verified translation,Traducción verificada,,Pendiente,
