Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
search,Algolia,ariaNext,Next page,Página siguiente,,Pendiente,
search,Algolia,ariaPrev,Previous page,Página anterior,,Pendiente,
search,Algolia,clearLabel,Clear search,Borrar búsqueda,,Pendiente,
search,Algolia,goToFirstPage,Go to first page,Ir a la primera página,,Pendiente,
search,Algolia,newPostAlert,New posts available on the first page,Hay publicaciones nuevas disponibles en la primera página,,Pendiente,
search,Algolia,next,Next,Siguiente,,Pendiente,
search,Algolia,noResults,No results,Sin resultados,,Pendiente,
search,Algolia,noResultsDetailed,"Sorry, we couldn't find any results for your search. Please try again.","Lo sentimos, no pudimos encontrar resultados para tu búsqueda. Intenta de nuevo.",,Pendiente,
search,Algolia,prev,Previous,Anterior,,Pendiente,
search,Algolia,searchPlaceholder,Search...,Buscar...,,Pendiente,
search,Algolia,searchPressReleasesPlaceholder,Search press releases...,Buscar notas de prensa...,,Pendiente,
search,Algolia,showingResults,Showing {count} results,Mostrando {count} resultados,,Pendiente,
search,Search,search,Search,Buscar,,Pendiente,
search,Search,searchArticles,Search articles,Buscar artículos,,Pendiente,
