Carpeta,Bloque,Clave,Inglés (original),Español (borrador IA),Español (revisado),Estado,Comentarios
rss,rss-feed,description_analysis,"Find the latest articles about forex analysis, reports and videos around the forex market, currencies and pairs.","Encuentra los últimos artículos sobre análisis forex, informes y vídeos sobre el mercado de divisas, monedas y pares.",,Pendiente,
rss,rss-feed,description_crypto,"Real-time cryptocurrency market news, Bitcoin and Altcoins, and the latest trading updates.","Encuentra los últimos artículos sobre criptomonedas, informes y vídeos sobre el mercado crypto.",,Pendiente,
rss,rss-feed,description_crypto-referral,"Real-time cryptocurrency market news, Bitcoin and Altcoins, and the latest trading updates.","Encuentra los últimos artículos sobre criptomonedas, informes y vídeos sobre el mercado crypto.",,Pendiente,
rss,rss-feed,description_education,"Find the latest educational articles about forex trading, strategies and market fundamentals.","Encuentra los últimos artículos educativos sobre trading forex, estrategias y fundamentos del mercado.",,Pendiente,
rss,rss-feed,description_news,Real-time Forex News and the latest trading updates. Stay updated on the latest news about currencies and commodities markets.,Noticias Forex y las últimas actualizaciones en tiempo real. Todo lo que necesitas saber sobre los mercados de divisas y materias primas.,,Pendiente,
rss,rss-feed,description_stocks,"Find the latest articles about equities, reports and videos around the stock market.","Encuentra los últimos artículos sobre acciones, informes y vídeos sobre el mercado bursátil.",,Pendiente,
rss,rss-feed,title_analysis,FXStreet Forex & Commodities Analysis,FXStreet Análisis de Forex y Materias Primas,,Pendiente,
rss,rss-feed,title_crypto,FXStreet Crypto News & Analysis,FXStreet Noticias de Criptomonedas,,Pendiente,
rss,rss-feed,title_crypto-referral,FXStreet Crypto News & Analysis,FXStreet Noticias de Criptomonedas,,Pendiente,
rss,rss-feed,title_education,FXStreet Forex Education,FXStreet Educación Forex,,Pendiente,
rss,rss-feed,title_news,FXStreet Forex & Commodities News,FXStreet Noticias de Forex y Materias Primas,,Pendiente,
rss,rss-feed,title_stocks,FXStreet Equities News,FXStreet Noticias de Acciones,,Pendiente,
